RK,NAME,POSITION,TEAM,SALARY,SALARY
366,Eric Moreland, PF,Sacramento Kings,845059,"$845,059.00"
367,Elijah Millsap, SG,Utah Jazz,845059,"$845,059.00"
368,JaMychal Green, PF,Memphis Grizzlies,845059,"$845,059.00"
369,James Ennis, SF,Memphis Grizzlies,845059,"$845,059.00"
370,Russ Smith, PG,Memphis Grizzlies,845059,"$845,059.00"
371,Langston Galloway, SG,New York Knicks,845059,"$845,059.00"
372,Kostas Papanikolaou, SF,Denver Nuggets,800321,"$800,321.00"
373,Bryce Cotton, PG,Memphis Grizzlies,700902,"$700,902.00"
374,Anthony Brown, SF,Los Angeles Lakers,700000,"$700,000.00"
375,Norman Powell, SG,Toronto Raptors,650000,"$650,000.00"
376,Pat Connaughton, SG,Portland Trail Blazers,625093,"$625,093.00"
377,Darrun Hilliard, SG,Detroit Pistons,600000,"$600,000.00"
378,Jarell Eddie, SG,Washington Wizards,561716,"$561,716.00"
379,Josh Richardson, SG,Miami Heat,525093,"$525,093.00"
380,Corey Hawkins, PG,Miami Heat,525093,"$525,093.00"
381,Kyle Casey, SF,Phoenix Suns,525093,"$525,093.00"
382,Deonte Burton, PG,Phoenix Suns,525093,"$525,093.00"
383,Aaron Harrison, SG,Charlotte Hornets,525093,"$525,093.00"
384,Christian Wood, PF,Philadelphia 76ers,525093,"$525,093.00"
385,Treveon Graham, SG,Charlotte Hornets,525093,"$525,093.00"
386,Jarrid Famous, PF,Memphis Grizzlies,525093,"$525,093.00"
387,Ronald Roberts Jr., PF,Toronto Raptors,525093,"$525,093.00"
388,Shannon Scott, PG,Toronto Raptors,525093,"$525,093.00"
389,Terran Petteway, SG,Atlanta Hawks,525093,"$525,093.00"
390,Cristiano Felicio, PF,Chicago Bulls,525093,"$525,093.00"
391,Lamar Patterson, SG,Atlanta Hawks,525093,"$525,093.00"
392,Michael Beasley, SF,Houston Rockets,306527,"$306,527.00"
393,Steve Novak, SF,Oklahoma City Thunder,295327,"$295,327.00"
394,Anderson Varejao, C,Golden State Warriors,289755,"$289,755.00"
395,JJ Hickson, C,Washington Wizards,273038,"$273,038.00"
396,Joe Johnson, SF,Brooklyn Nets,261894,"$261,894.00"
397,JaKarr Sampson, SG,Philadelphia 76ers,258489,"$258,489.00"
398,Andre Miller, PG,San Antonio Spurs,250750,"$250,750.00"
399,Jason Thompson, PF,Toronto Raptors,245177,"$245,177.00"
400,Ryan Hollins, C,Memphis Grizzlies,239605,"$239,605.00"
401,Nazr Mohammed, C,Oklahoma City Thunder,222888,"$222,888.00"
402,Ty Lawson, PG,Indiana Pacers,211744,"$211,744.00"
403,Chase Budinger, SF,Phoenix Suns,206192,"$206,192.00"
404,Kevin Martin, SG,San Antonio Spurs,200600,"$200,600.00"
405,Marcus Thornton, SG,Washington Wizards,200600,"$200,600.00"
406,Andrew Goudelock, PG,Houston Rockets,200600,"$200,600.00"
407,Jorge Gutierrez, PG,Charlotte Hornets,189455,"$189,455.00"
408,Bryce Dejean-Jones, SG,New Orleans Pelicans,169883,"$169,883.00"
409,Tony Wroten, SG,Philadelphia 76ers,167406,"$167,406.00"
410,Sean Kilpatrick, SG,Brooklyn Nets,134215,"$134,215.00"
411,Jeff Ayres, PF,LA Clippers,111444,"$111,444.00"
412,Lorenzo Brown, PG,Phoenix Suns,111444,"$111,444.00"
413,Jordan McRae, SG,Phoenix Suns,111196,"$111,196.00"
414,Erick Green, PG,Utah Jazz,99418,"$99,418.00"
415,Alan Williams, PF,Phoenix Suns,83397,"$83,397.00"
416,Keith Appling, PG,Orlando Magic,61776,"$61,776.00"
417,Orlando Johnson, SG,Phoenix Suns,55722,"$55,722.00"
418,Phil Pressey, PG,Phoenix Suns,55722,"$55,722.00"
419,Elliot Williams, SG,Memphis Grizzlies,55722,"$55,722.00"
420,Cory Jefferson, PF,Phoenix Suns,49709,"$49,709.00"
421,Thanasis Antetokounmpo, SF,New York Knicks,30888,"$30,888.00"
Nan,Alan Anderson,NAN,NAN,1315000,"$1,315,000.00"
Nan,Alex Stepheson,NAN,NAN,50000,"$50,000.00"
Nan,Allen Crabbe,NAN,NAN,18500000,"$18,500,000.00"
Nan,Amar'e Stoudemire,NAN,NAN,1499187,"$1,499,187.00"
Nan,Amir Johnson,NAN,NAN,5500000,"$5,500,000.00"
Nan,Axel Toupane,NAN,NAN,874636,"$874,636.00"
Nan,Bismack Biyombo,NAN,NAN,17000000,"$17,000,000.00"
Nan,Branden Dawson,NAN,NAN,525093,"$525,093.00"
Nan,Briante Weber,NAN,NAN,327000,"$327,000.00"
Nan,Brook Lopez,NAN,NAN,19690000,"$19,690,000.00"
Nan,CJ McCollum,NAN,NAN,3220000,"$3,220,000.00"
Nan,CJ Miles,NAN,NAN,3700000,"$3,700,000.00"
Nan,CJ Watson,NAN,NAN,4800000,"$4,800,000.00"
Nan,Cameron Bairstow,NAN,NAN,1000000,"$1,000,000.00"
Nan,Chuck Hayes,NAN,NAN,1500000,"$1,500,000.00"
Nan,Charlie Villanueva,NAN,NAN,1500000,"$1,500,000.00"
Nan,Cleanthony Early,NAN,NAN,845059,"$845,059.00"
Nan,Cliff Alexander,NAN,NAN,874636,"$874,636.00"
Nan,Cory Joseph,NAN,NAN,7000000,"$7,000,000.00"
Nan,D.J. Augustin,NAN,NAN,3000000,"$3,000,000.00"
Nan,Dahntay Jones,NAN,NAN,3000000,"$3,000,000.00"
Nan,DeAndre Jordan,NAN,NAN,21170000,"$21,170,000.00"
Nan,Derrick Favors,NAN,NAN,6000000,"$6,000,000.00"
Nan,Derrick Williams,NAN,NAN,5000000,"$5,000,000.00"
Nan,Devyn Marble,NAN,NAN,884879,"$884,879.00"
Nan,Dewayne Dedmon,NAN,NAN,3000000,"$3,000,000.00"
Nan,Duje Dukan,NAN,NAN,525093,"$525,093.00"
Nan,Dwight Powell,NAN,NAN,8000000,"$8,000,000.00"
Nan,Elton Brand,NAN,NAN,1500000,"$1,500,000.00"
Nan,Frank Kaminsky,NAN,NAN,2613000,"$2,613,000.00"
Nan,George Hill,NAN,NAN,8000000,"$8,000,000.00"
Nan,Gerald Green,NAN,NAN,1411000,"$1,411,000.00"
Nan,Glenn Robinson,NAN,NAN,845059,"$845,059.00"
Nan,Greg Monroe,NAN,NAN,16410000,"$16,410,000.00"
Nan,Greg Smith,NAN,NAN,297912,"$297,912.00"
Nan,Hassan Whiteside,NAN,NAN,22000000,"$22,000,000.00"
Nan,Henry Sims,NAN,NAN,1000000,"$1,000,000.00"
Nan,Hollis Thompson,NAN,NAN,490180,"$490,180.00"
Nan,Ian Clark,NAN,NAN,1000000,"$1,000,000.00"
Nan,Ish Smith,NAN,NAN,6000000,"$6,000,000.00"
Nan,J.R. Smith,NAN,NAN,15690000,"$15,690,000.00"
Nan,JJ Redick,NAN,NAN,6750000,"$6,750,000.00"
Nan,JaVale McGee,NAN,NAN,1404000,"$1,404,000.00"
Nan,James Jones,NAN,NAN,1552000,"$1,552,000.00"
Nan,James Michael McAdoo,NAN,NAN,980431,"$980,431.00"
Nan,Jared Cunningham,NAN,NAN,981348,"$981,348.00"
Nan,Jarnell Stokes,NAN,NAN,980431,"$980,431.00"
Nan,Jason Terry,NAN,NAN,1552000,"$1,552,000.00"
Nan,Jerami Grant,NAN,NAN,980431,"$980,431.00"
Nan,Jerryd Bayless,NAN,NAN,8612000,"$8,612,000.00"
Nan,Joe Harris,NAN,NAN,884879,"$884,879.00"
Nan,Johnny O'Bryant,NAN,NAN,57672,"$57,672.00"
Nan,Jonathon Simmons,NAN,NAN,874636,"$874,636.00"
Nan,Jordan Clarkson,NAN,NAN,12500000,"$12,500,000.00"
Nan,Jordan Farmar,NAN,NAN,1344000,"$1,344,000.00"
Nan,Jordan Hamilton,NAN,NAN,150591,"$150,591.00"
Nan,Jose Juan Barea,NAN,NAN,3747000,"$3,747,000.00"
Nan,Josh Smith,NAN,NAN,1499000,"$1,499,000.00"
Nan,Justin Harper,NAN,NAN,845059,"$845,059.00"
Nan,Justin Holiday,NAN,NAN,947276,"$947,276.00"
Nan,KJ McDaniels,NAN,NAN,3000000,"$3,000,000.00"
Nan,Kelly Oubre,NAN,NAN,2000000,"$2,000,000.00"
Nan,Kendrick Perkins,NAN,NAN,1500000,"$1,500,000.00"
Nan,Kyle Lowry,NAN,NAN,12000000,"$12,000,000.00"
Nan,Lou Williams,NAN,NAN,6700000,"$6,700,000.00"
Nan,Luc Mbah a Moute,NAN,NAN,2200000,"$2,200,000.00"
Nan,Luis Montero,NAN,NAN,525000,"$525,000.00"
Nan,Marcelo Huertas,NAN,NAN,1500000,"$1,500,000.00"
Nan,Marcus Morris,NAN,NAN,5000000,"$5,000,000.00"
Nan,Markel Brown,NAN,NAN,980000,"$980,000.00"
Nan,Metta World Peace,NAN,NAN,1552000,"$1,552,000.00"
Nan,Mike Miller,NAN,NAN,1499000,"$1,499,000.00"
Nan,Mike Muscala,NAN,NAN,816482,"$816,482.00"
Nan,Nene,NAN,NAN,2898000,"$2,898,000.00"
Nan,O.J. Mayo,NAN,NAN,5633000,"$5,633,000.00"
Nan,Otto Porter,NAN,NAN,4470000,"$4,470,000.00"
Nan,PJ Hairston,NAN,NAN,1201000,"$1,201,000.00"
Nan,PJ Tucker,NAN,NAN,5300000,"$5,300,000.00"
Nan,RJ Hunter,NAN,NAN,1149000,"$1,149,000.00"
Nan,Rasual Butler,NAN,NAN,854389,"$854,389.00"
Nan,Ray McCallum,NAN,NAN,947276,"$947,276.00"
Nan,Richard Jefferson,NAN,NAN,2445000,"$2,445,000.00"
Nan,Ryan Anderson,NAN,NAN,18740000,"$18,740,000.00"
Nan,Salah Mejri,NAN,NAN,525093,"$525,093.00"
Nan,Sasha Vujacic,NAN,NAN,1411000,"$1,411,000.00"
Nan,Seth Curry,NAN,NAN,3028000,"$3,028,000.00"
Nan,Shayne Whittington,NAN,NAN,845059,"$845,059.00"
Nan,TJ McConnell,NAN,NAN,525093,"$525,093.00"
Nan,Tarik Black,NAN,NAN,6191000,"$6,191,000.00"
Nan,Tayshaun Prince,NAN,NAN,1499000,"$1,499,000.00"
Nan,Tim Frazier,NAN,NAN,2000000,"$2,000,000.00"
Nan,Tyler Johnson,NAN,NAN,854059,"$854,059.00"
Nan,Udonis Haslem,NAN,NAN,4000000,"$4,000,000.00"
Nan,Wesley Johnson,NAN,NAN,5628000,"$5,628,000.00"
Nan,Wesley Matthews,NAN,NAN,16410000,"$16,410,000.00"
Nan,Willie Reed,NAN,NAN,1016000,"$1,016,000.00"
Nan,Xavier Munford,NAN,NAN,874636,"$874,636.00"
Nan,Nate Robinson,NAN,NAN,44094,"$44,094.00"
Nan,Matt Bonner,NAN,NAN,1499000,"$1,499,000.00"
Nan,J.J. O'Brien,NAN,NAN,99000,"$99,000.00"
Nan,Coty Clarke,NAN,NAN,61000,"$61,000.00"
