,MIN,PTS,FGM,FGA,FTM,FTA,REB,AST,STL,BLK,PF
38,21.2205882353,0.367983367983,0.135135135135,0.315315315315,0.0512820512821,0.0713790713791,0.102564102564,0.0547470547471,0.036036036036,0.00693000693001,0.0970200970201
39,16.0909090909,0.289548022599,0.121468926554,0.279661016949,0.0254237288136,0.0282485875706,0.101694915254,0.16384180791,0.0197740112994,0.00141242937853,0.0720338983051
40,22.0487804878,0.25110619469,0.0862831858407,0.159292035398,0.0785398230088,0.125,0.362278761062,0.0160398230088,0.0105088495575,0.0735619469027,0.124446902655
41,33.4285714286,0.640170940171,0.257264957265,0.515384615385,0.120512820513,0.165811965812,0.251282051282,0.145299145299,0.0239316239316,0.0145299145299,0.0811965811966
42,9.40740740741,0.584645669291,0.206692913386,0.342519685039,0.17125984252,0.224409448819,0.38188976378,0.0413385826772,0.0236220472441,0.0452755905512,0.106299212598
43,17.7741935484,0.395644283122,0.168784029038,0.395644283122,0.043557168784,0.059891107078,0.305807622505,0.0471869328494,0.0226860254083,0.0199637023593,0.0907441016334
44,26.7721518987,0.41938534279,0.153191489362,0.354137115839,0.0520094562648,0.0624113475177,0.120567375887,0.0468085106383,0.0137115839243,0.00236406619385,0.0562647754137
45,18.2368421053,0.349927849928,0.145743145743,0.276334776335,0.040404040404,0.0548340548341,0.16810966811,0.126984126984,0.018759018759,0.0151515151515,0.0735930735931
46,31.0545454545,0.560889929742,0.21018735363,0.467798594848,0.0790398126464,0.103044496487,0.110070257611,0.0948477751756,0.0316159250585,0.00644028103044,0.0685011709602
47,17.6666666667,0.391509433962,0.165094339623,0.245283018868,0.061320754717,0.11320754717,0.202830188679,0.0283018867925,0.0235849056604,0.0707547169811,0.0990566037736
48,4.83333333333,0.172413793103,0.0689655172414,0.172413793103,0.0344827586207,0.0344827586207,0.137931034483,0.0,0.0,0.0344827586207,0.0689655172414
49,20.3333333333,0.352459016393,0.129657228018,0.236214605067,0.0931445603577,0.110283159463,0.212369597615,0.0551415797317,0.0245901639344,0.0409836065574,0.0931445603577
50,18.0625,0.382929642445,0.129181084198,0.350634371396,0.0657439446367,0.0899653979239,0.110726643599,0.196078431373,0.0334486735871,0.0080738177624,0.0657439446367
51,35.9615384615,0.544385026738,0.198395721925,0.478609625668,0.083422459893,0.0978609625668,0.108021390374,0.14064171123,0.0326203208556,0.0106951871658,0.0663101604278
52,14.6527777778,0.289099526066,0.105213270142,0.24644549763,0.0170616113744,0.0265402843602,0.171563981043,0.054028436019,0.0189573459716,0.0218009478673,0.054028436019
53,9.21568627451,0.436170212766,0.157446808511,0.351063829787,0.0893617021277,0.1,0.0872340425532,0.114893617021,0.0212765957447,0.00425531914894,0.0744680851064
54,24.1428571429,0.183431952663,0.0828402366864,0.230769230769,0.0177514792899,0.0236686390533,0.147928994083,0.12426035503,0.0532544378698,0.0177514792899,0.0710059171598
55,33.6575342466,0.610907610908,0.240537240537,0.470899470899,0.129019129019,0.164021164021,0.233211233211,0.0594220594221,0.023606023606,0.0504680504681,0.0875050875051
56,7.16666666667,0.0697674418605,0.0232558139535,0.279069767442,0.0,0.0,0.046511627907,0.0232558139535,0.046511627907,0.0232558139535,0.046511627907
57,4.875,0.205128205128,0.102564102564,0.25641025641,0.0,0.0,0.0,0.0769230769231,0.0769230769231,0.0,0.0512820512821
58,19.9285714286,0.283154121864,0.100358422939,0.247311827957,0.0394265232975,0.0752688172043,0.172043010753,0.0537634408602,0.0358422939068,0.00716845878136,0.0609318996416
59,34.75,0.59928057554,0.230575539568,0.514748201439,0.0672661870504,0.0812949640288,0.0931654676259,0.122661870504,0.0348920863309,0.00827338129496,0.0672661870504
60,22.875,0.514344262295,0.176912568306,0.43306010929,0.0635245901639,0.0846994535519,0.119535519126,0.0430327868852,0.0362021857923,0.0198087431694,0.0969945355191
