,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,15:00:00,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,PosicAbbrev
19,Andre Iguodala,GSW,32,65,59,6,1732,0.3,0.1,0.2,47.8,0.0,0.1,35.1,0.0,0.1,61.4,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,1,0,0.3, SF
20,Andre Miller,SAS,40,39,20,19,461,0.3,0.1,0.2,55.7,0.0,0.0,25.0,0.1,0.1,75.0,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0,0,0.1, PG
21,Andre Roberson,OKC,24,70,48,22,1553,0.2,0.1,0.2,49.6,0.0,0.1,31.1,0.0,0.0,61.1,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0,0,0.2, SF
22,Andrea Bargnani,BKN,30,46,11,35,634,0.5,0.2,0.4,45.5,0.0,0.0,18.8,0.1,0.1,82.5,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0,0,-0.3, C
23,Andrew Bogut,GSW,31,70,62,8,1451,0.3,0.1,0.2,62.7,0.0,0.0,100,0.0,0.0,48.0,0.1,0.3,0.3,0.1,0.1,0.0,0.1,0.1,5,0,0.3, C
24,Andrew Goudelock,HOU,27,8,5,3,50,0.4,0.2,0.4,45.0,0.0,0.2,11.1,0.1,0.1,75.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0,0,0.2, PG
25,Andrew Nicholson,ORL,26,56,22,34,823,0.5,0.2,0.4,47.1,0.1,0.1,36.0,0.1,0.1,78.5,0.0,0.2,0.2,0.0,0.1,0.0,0.0,0.1,0,0,0.0, PF
26,Andrew Wiggins,MIN,21,81,29,52,2845,0.6,0.2,0.5,45.9,0.0,0.1,30.0,0.1,0.2,76.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,1,0,-0.0, SF
27,Anthony Bennett,TOR,23,19,12,7,84,0.3,0.1,0.3,29.6,0.0,0.2,21.4,0.1,0.1,90.0,0.1,0.2,0.3,0.0,0.1,0.1,0.0,0.1,0,0,-0.4, PF
28,Anthony Brown,LAL,23,29,4,25,599,0.2,0.1,0.2,31.0,0.0,0.1,28.6,0.0,0.0,85.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0,0,-0.1, SF
29,Anthony Davis,NOP,23,61,24,37,2164,0.7,0.3,0.5,49.3,0.0,0.1,32.4,0.1,0.2,75.8,0.1,0.2,0.3,0.1,0.1,0.0,0.1,0.1,36,0,-0.1, PF
30,Anthony Morrow,OKC,30,68,46,22,926,0.4,0.1,0.4,40.8,0.1,0.2,38.7,0.0,0.0,74.4,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0,0,0.1, SG
31,Anthony Tolliver,DET,31,72,36,36,1341,0.3,0.1,0.3,38.6,0.1,0.2,36.0,0.0,0.0,61.7,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0,0,0.0, PF
32,Archie Goodwin,PHX,21,57,14,43,1114,0.5,0.2,0.4,41.7,0.0,0.1,23.2,0.1,0.2,67.4,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,1,0,-0.2, SG
33,Aron Baynes,DET,29,81,43,38,1233,0.4,0.2,0.3,50.5,0.0,0.0,0.0,0.1,0.1,76.4,0.1,0.2,0.3,0.0,0.1,0.0,0.0,0.1,1,0,-0.0, C
34,Arron Afflalo,NYK,30,71,27,44,2371,0.4,0.1,0.3,44.3,0.0,0.1,38.2,0.1,0.1,84.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,1,0,-0.1, SG
35,Austin Rivers,LAC,23,67,42,25,1464,0.4,0.1,0.3,43.8,0.0,0.1,33.5,0.1,0.1,68.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,-0.1, PG
36,Avery Bradley,BOS,25,76,45,31,2536,0.5,0.2,0.4,44.7,0.1,0.2,36.1,0.0,0.1,78.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0,0,0.1, SG
37,Axel Toupane,DEN,23,21,9,12,305,0.3,0.1,0.2,35.7,0.0,0.1,32.5,0.0,0.1,76.5,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,-0.1, SG
38,Ben McLemore,SAC,23,68,28,40,1443,0.4,0.1,0.3,42.9,0.1,0.1,36.2,0.1,0.1,71.8,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,0.0, SG
39,Beno Udrih,MEM,33,44,26,18,708,0.3,0.1,0.3,43.4,0.0,0.1,34.1,0.0,0.0,90.0,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,1,0,-0.0, PG
40,Bismack Biyombo,TOR,23,82,56,26,1808,0.3,0.1,0.2,54.2,0.0,0.0,0.0,0.1,0.1,62.8,0.1,0.3,0.4,0.0,0.0,0.0,0.1,0.1,9,0,0.1, C
41,Blake Griffin,LAC,27,35,22,13,1170,0.6,0.3,0.5,49.9,0.0,0.0,33.3,0.1,0.2,72.7,0.0,0.2,0.3,0.1,0.1,0.0,0.0,0.1,13,0,0.2, PF
42,Boban Marjanovic,SAS,27,54,47,7,508,0.6,0.2,0.3,60.3,0.0,0.0,0.0,0.2,0.2,76.3,0.1,0.2,0.4,0.0,0.1,0.0,0.1,0.1,3,0,0.1, C
43,Bobby Portis,CHI,21,62,29,33,1102,0.4,0.2,0.4,42.7,0.0,0.1,30.8,0.0,0.1,72.7,0.1,0.2,0.3,0.1,0.1,0.0,0.0,0.1,6,0,-0.2, PF
44,Bojan Bogdanovic,BKN,27,79,21,58,2115,0.4,0.1,0.3,43.3,0.1,0.2,38.2,0.1,0.1,83.3,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,1,0,-0.2, SG
45,Boris Diaw,SAS,34,76,64,12,1386,0.3,0.1,0.3,52.7,0.0,0.1,36.2,0.0,0.1,73.7,0.0,0.1,0.2,0.1,0.1,0.0,0.0,0.1,0,0,0.2, C
46,Bradley Beal,WAS,23,55,28,27,1708,0.6,0.2,0.5,44.9,0.1,0.2,38.7,0.1,0.1,76.7,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,-0.0, SG
47,Brandan Wright,MEM,28,12,6,6,212,0.4,0.2,0.3,67.3,0.0,0.0,0.0,0.1,0.1,54.2,0.1,0.1,0.2,0.0,0.1,0.0,0.1,0.1,0,0,-0.3, PF
48,Branden Dawson,LAC,23,6,5,1,29,0.2,0.1,0.2,40.0,0.0,0.0,0.0,0.0,0.0,100,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0,0,-0.5, SF
49,Brandon Bass,LAL,31,66,16,50,1342,0.3,0.1,0.2,54.9,0.0,0.0,0.0,0.1,0.1,84.5,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.1,0,0,-0.0, PF
50,Brandon Jennings,ORL,26,48,20,28,867,0.4,0.1,0.3,36.8,0.1,0.2,32.9,0.1,0.1,73.1,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,1,0,0.0, PG
51,Brandon Knight,PHX,24,52,16,36,1870,0.5,0.2,0.5,41.5,0.1,0.2,34.2,0.1,0.1,85.2,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,4,1,-0.1, PG
52,Brandon Rush,GSW,30,72,63,9,1055,0.3,0.1,0.3,42.7,0.1,0.1,41.4,0.0,0.0,64.3,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.1,0,0,-0.0, SG
53,Brian Roberts,POR,30,51,26,25,470,0.4,0.2,0.3,44.8,0.0,0.1,35.7,0.1,0.1,89.4,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,-0.1, PG
54,Briante Weber,MIA,23,7,3,4,169,0.2,0.1,0.2,35.9,0.0,0.0,0.0,0.0,0.0,75.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0,0,-0.4, PG
55,Brook Lopez,BKN,28,73,21,52,2457,0.6,0.2,0.5,51.1,0.0,0.0,14.3,0.1,0.2,78.7,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.1,26,0,-0.1, C
56,Bruno Caboclo,TOR,20,6,6,0,43,0.1,0.0,0.3,8.3,0.0,0.2,14.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0,0,-0.2, SF
57,Bryce Cotton,MEM,23,8,1,7,39,0.2,0.1,0.3,40.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0,0,-0.6, PG
58,Bryce Dejean-Jones,NOP,23,14,8,6,279,0.3,0.1,0.3,40.6,0.0,0.1,37.5,0.0,0.1,52.4,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.1,0,0,-0.1, SG
59,CJ McCollum,POR,24,80,44,36,2780,0.6,0.2,0.5,44.8,0.1,0.2,41.7,0.1,0.1,82.7,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,2,0,0.1, SG
60,CJ Miles,IND,29,64,34,30,1464,0.5,0.2,0.4,40.9,0.1,0.3,36.7,0.1,0.1,75.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0,0,0.0, SF
61,CJ Watson,ORL,32,33,14,19,656,0.2,0.1,0.2,34.3,0.0,0.1,29.2,0.1,0.1,87.2,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,-0.1, PG
62,CJ Wilcox,LAC,25,23,15,8,167,0.4,0.2,0.4,39.4,0.1,0.1,39.1,0.1,0.1,75.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0,0,0.1, SG
63,Cameron Bairstow,DET,25,18,4,14,103,0.3,0.1,0.4,32.5,0.0,0.1,20.0,0.1,0.1,87.5,0.0,0.2,0.3,0.1,0.0,0.0,0.0,0.2,0,0,-0.1, PF
64,Cameron Payne,OKC,21,57,44,13,698,0.4,0.2,0.4,41.0,0.1,0.2,32.4,0.0,0.0,79.2,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0,0,-0.0, PG
65,Carl Landry,PHI,32,36,5,31,569,0.6,0.2,0.4,55.6,0.0,0.0,46.2,0.1,0.2,73.6,0.1,0.2,0.3,0.1,0.0,0.0,0.0,0.1,0,0,-0.2, PF
66,Carmelo Anthony,NYK,32,72,32,40,2530,0.6,0.2,0.5,43.4,0.0,0.1,33.9,0.1,0.2,82.9,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.1,22,0,-0.0, SF
67,Caron Butler,SAC,36,17,2,15,176,0.4,0.1,0.3,42.4,0.0,0.1,16.7,0.1,0.1,83.3,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0,0,-0.2, SF
68,Chandler Parsons,DAL,27,61,29,32,1799,0.5,0.2,0.4,49.2,0.1,0.1,41.4,0.1,0.1,68.4,0.0,0.1,0.2,0.1,0.1,0.0,0.0,0.1,3,0,0.0, SF
69,Channing Frye,CLE,33,70,35,35,1199,0.3,0.1,0.3,43.8,0.1,0.2,38.7,0.0,0.0,85.7,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0,0,0.1, PF
70,Charles Hayes,LAC,33,2,1,1,24,0.2,0.0,0.1,50.0,0.0,0.0,0.0,0.1,0.1,100,0.0,0.3,0.3,0.1,0.1,0.0,0.0,0.3,0,0,-0.1, PF
71,Charlie Villanueva,DAL,31,62,29,33,665,0.5,0.2,0.5,38.2,0.1,0.3,27.3,0.0,0.0,91.7,0.0,0.2,0.2,0.0,0.1,0.0,0.0,0.1,0,0,-0.1, PF
72,Chase Budinger,PHX,28,66,29,37,930,0.3,0.1,0.3,43.5,0.0,0.1,27.9,0.0,0.1,69.6,0.1,0.1,0.2,0.1,0.1,0.0,0.0,0.1,0,0,0.0, SF
73,Chris Andersen,MEM,37,27,11,16,403,0.3,0.1,0.2,52.8,0.0,0.0,28.6,0.1,0.1,69.4,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0,0,-0.2, PF
74,Chris Bosh,MIA,32,53,29,24,1778,0.6,0.2,0.4,46.7,0.1,0.1,36.5,0.1,0.1,79.5,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.1,15,0,0.0, PF
75,Chris Copeland,MIL,32,24,10,14,156,0.3,0.1,0.3,33.3,0.1,0.2,27.8,0.0,0.0,85.7,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,-0.5, SF
76,Chris Johnson,UTA,26,70,38,32,857,0.2,0.1,0.2,37.1,0.0,0.1,27.3,0.0,0.1,81.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,0.0, SF
77,Chris Kaman,POR,34,16,11,5,112,0.4,0.2,0.4,46.5,0.0,0.0,25.0,0.0,0.0,100,0.1,0.1,0.2,0.1,0.1,0.0,0.0,0.1,0,0,-0.3, C
78,Chris McCullough,BKN,21,24,7,17,362,0.3,0.1,0.3,40.4,0.0,0.1,38.2,0.0,0.1,47.8,0.1,0.1,0.2,0.0,0.0,0.1,0.0,0.1,0,0,-0.3, PF
79,Chris Paul,LAC,31,74,50,24,2420,0.6,0.2,0.5,46.2,0.1,0.1,37.1,0.1,0.1,89.6,0.0,0.1,0.1,0.3,0.1,0.1,0.0,0.1,38,0,0.2, PG
80,Christian Wood,PHI,20,17,0,17,145,0.4,0.1,0.4,41.5,0.0,0.1,36.4,0.1,0.1,61.9,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1,0,0,-0.3, PF
81,Cleanthony Early,NYK,25,17,6,11,154,0.2,0.1,0.3,30.0,0.0,0.1,26.7,0.0,0.0,75.0,0.0,0.1,0.2,0.0,0.1,0.0,0.0,0.1,0,0,0.0, SF
82,Cliff Alexander,POR,20,8,3,5,36,0.3,0.1,0.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0,0,-0.4, PF
83,Clint Capela,HOU,22,77,39,38,1471,0.4,0.2,0.3,58.2,0.0,0.0,0.0,0.1,0.1,37.9,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1,10,0,0.1, C
84,Cody Zeller,CHA,23,73,42,31,1774,0.4,0.1,0.3,52.9,0.0,0.0,10.0,0.1,0.1,75.4,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.1,5,0,0.1, C
85,Cole Aldrich,LAC,27,60,41,19,800,0.4,0.2,0.3,59.6,0.0,0.0,0.0,0.1,0.1,71.4,0.1,0.3,0.4,0.1,0.1,0.1,0.1,0.2,3,0,-0.0, C
86,Corey Brewer,HOU,30,82,41,41,1669,0.3,0.1,0.3,38.4,0.0,0.1,27.2,0.1,0.1,75.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0,0,-0.1, SF
87,Cory Jefferson,PHX,25,8,2,6,50,0.4,0.2,0.4,40.9,0.0,0.0,0.0,0.1,0.1,66.7,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.2,0,0,-0.1, PF
88,Cory Joseph,TOR,24,80,54,26,2046,0.3,0.1,0.3,43.9,0.0,0.1,27.3,0.1,0.1,76.4,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,0.1, PG
89,Coty Clarke,BOS,23,3,0,3,6,1.0,0.3,0.7,50.0,0.3,0.3,100,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0,0,0.7, PF
90,Courtney Lee,CHA,30,79,49,30,2334,0.3,0.1,0.3,45.4,0.0,0.1,37.8,0.0,0.1,83.9,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,0.1, SG
91,Cristiano Felicio,CHI,23,31,14,17,321,0.3,0.1,0.2,55.6,0.0,0.0,0.0,0.1,0.1,71.4,0.1,0.2,0.3,0.1,0.0,0.0,0.0,0.1,0,0,0.2, PF
92,D'Angelo Russell,LAL,20,80,17,63,2259,0.5,0.2,0.4,41.0,0.1,0.2,35.1,0.1,0.1,73.7,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,1,0,-0.2, PG
93,D.J. Augustin,DEN,28,62,35,27,1178,0.4,0.1,0.3,42.3,0.1,0.1,40.5,0.1,0.1,80.5,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,2,0,-0.0, PG
94,Dahntay Jones,CLE,35,1,0,1,42,0.3,0.1,0.3,42.9,0.0,0.1,50.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0,0,-0.0, SG
95,Damian Lillard,POR,25,75,40,35,2676,0.7,0.2,0.6,41.9,0.1,0.2,37.5,0.1,0.2,89.2,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,15,0,0.0, PG
96,Damien Inglis,MIL,21,20,5,15,156,0.2,0.1,0.2,35.1,0.0,0.1,23.1,0.0,0.1,87.5,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.1,0,0,-0.3, SF
97,Damjan Rudez,MIN,30,33,9,24,277,0.3,0.1,0.2,40.3,0.1,0.2,34.0,0.0,0.0,100,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0,0,-0.1, SF
98,Danilo Gallinari,DEN,27,53,22,31,1839,0.6,0.2,0.4,41.0,0.1,0.1,36.4,0.2,0.2,86.8,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,3,0,-0.1, SF
99,Danny Green,SAS,29,79,65,14,2062,0.3,0.1,0.3,37.6,0.1,0.2,33.2,0.0,0.0,73.9,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,0.3, SG
100,Dante Cunningham,NOP,29,80,28,52,1971,0.3,0.1,0.2,45.1,0.0,0.1,31.6,0.0,0.0,69.5,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0,0,-0.1, PF
101,Darrell Arthur,DEN,28,70,26,44,1516,0.3,0.1,0.3,45.2,0.0,0.1,38.5,0.0,0.0,75.5,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.1,2,0,-0.0, PF
102,Darren Collison,SAC,28,74,29,45,2219,0.5,0.2,0.3,48.6,0.0,0.1,40.1,0.1,0.1,85.8,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,4,0,-0.0, PG
103,Darrun Hilliard,DET,23,38,17,21,383,0.4,0.1,0.3,39.7,0.1,0.1,38.0,0.1,0.1,72.5,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,-0.0, SG
104,David Lee,DAL,33,55,27,28,903,0.5,0.2,0.4,53.1,0.0,0.0,0.0,0.1,0.1,76.3,0.1,0.2,0.3,0.1,0.1,0.0,0.0,0.1,4,0,-0.1, PF
105,David West,SAS,35,78,63,15,1404,0.4,0.2,0.3,54.5,0.0,0.0,42.9,0.0,0.1,78.8,0.1,0.2,0.2,0.1,0.1,0.0,0.0,0.1,1,0,0.2, PF
106,DeAndre Jordan,LAC,27,77,51,26,2598,0.4,0.1,0.2,70.3,0.0,0.0,0.0,0.1,0.2,43.0,0.1,0.3,0.4,0.0,0.0,0.0,0.1,0.1,49,0,0.2, C
107,DeJuan Blair,WAS,27,29,12,17,218,0.3,0.1,0.3,41.2,0.0,0.0,0.0,0.0,0.1,38.5,0.1,0.2,0.3,0.1,0.1,0.0,0.0,0.2,0,0,-0.2, C
108,DeMar DeRozan,TOR,26,78,53,25,2804,0.7,0.2,0.5,44.6,0.0,0.1,33.8,0.2,0.2,85.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,3,0,0.1, SG
109,DeMarcus Cousins,SAC,25,65,29,36,2246,0.8,0.3,0.6,45.1,0.0,0.1,33.3,0.2,0.3,71.8,0.1,0.3,0.3,0.1,0.1,0.0,0.0,0.1,47,1,0.0, PF
110,DeMarre Carroll,TOR,29,26,16,10,786,0.4,0.1,0.3,38.9,0.1,0.1,39.0,0.0,0.1,60.0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.1,0,0,0.1, SF
111,Delon Wright,TOR,24,27,19,8,229,0.5,0.2,0.3,45.0,0.0,0.1,38.5,0.1,0.1,74.3,0.0,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0,0,0.1, PG
112,Dennis Schroder,ATL,22,80,47,33,1621,0.5,0.2,0.5,42.1,0.1,0.1,32.2,0.1,0.1,79.1,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,2,0,0.1, PG
113,Deron Williams,DAL,32,65,31,34,2106,0.4,0.1,0.4,41.4,0.1,0.1,34.4,0.1,0.1,86.9,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,4,0,0.0, PG
114,Derrick Favors,UTA,24,62,30,32,1983,0.5,0.2,0.4,51.5,0.0,0.0,0.0,0.1,0.1,70.9,0.1,0.2,0.3,0.1,0.1,0.0,0.1,0.1,19,0,0.1, PF
115,Derrick Rose,CHI,27,66,32,34,2097,0.5,0.2,0.5,42.7,0.0,0.1,29.3,0.1,0.1,79.3,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,1,0,-0.1, PG
116,Derrick Williams,NYK,25,80,32,48,1435,0.5,0.2,0.4,45.0,0.0,0.1,29.3,0.1,0.2,75.8,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.1,4,0,-0.1, PF
117,Devin Booker,PHX,19,76,20,56,2108,0.5,0.2,0.4,42.3,0.1,0.1,34.3,0.1,0.1,84.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,3,0,-0.2, SG
118,Devin Harris,DAL,33,64,35,29,1280,0.4,0.1,0.3,44.7,0.0,0.1,32.9,0.1,0.1,72.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0,0,-0.1, PG
119,Devyn Marble,ORL,23,28,12,16,249,0.2,0.1,0.3,29.6,0.0,0.1,25.0,0.0,0.1,41.7,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0,0,-0.1, SF
120,Dewayne Dedmon,ORL,26,58,21,37,705,0.4,0.1,0.3,55.9,0.0,0.0,0.0,0.1,0.1,75.0,0.1,0.2,0.3,0.0,0.1,0.0,0.1,0.1,1,0,-0.1, C
121,Dion Waiters,OKC,24,78,53,25,2152,0.3,0.1,0.3,39.9,0.0,0.1,35.8,0.1,0.1,71.3,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,0.1, SG
122,Dirk Nowitzki,DAL,38,75,38,37,2363,0.6,0.2,0.5,44.8,0.1,0.1,36.8,0.1,0.1,89.3,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.1,10,0,0.1, PF
123,Donald Sloan,BKN,28,61,13,48,1318,0.3,0.1,0.3,44.0,0.0,0.1,38.4,0.1,0.1,75.0,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,3,0,-0.1, PG
124,Donatas Motiejunas,HOU,25,37,19,18,547,0.4,0.2,0.4,43.9,0.0,0.1,28.1,0.1,0.1,64.2,0.1,0.1,0.2,0.1,0.1,0.0,0.0,0.1,0,0,0.1, PF
125,Doug McDermott,CHI,24,81,41,40,1861,0.4,0.2,0.3,45.2,0.1,0.1,42.5,0.0,0.1,85.7,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0,0,-0.0, SF
126,Draymond Green,GSW,26,81,73,8,2808,0.4,0.1,0.3,49.0,0.0,0.1,38.8,0.1,0.1,69.6,0.1,0.2,0.3,0.2,0.1,0.0,0.0,0.1,33,13,0.4, PF
