Position,Nom,Matchs,Fautes soumises,Passes ratées,Dernières passes avant un tir,Tirs cadrés se dirigeant soit au poteau entrant soit à la barre entrante,Tirs attrappés,Tirs non cadrés,Buts,Hors jeu,Penalty raté,Interceptions,Fautes commises,But contre son camp (c.s.c) ou autogoal,Cartons jaunes,Cartons rouges,Ballons attrapés (que pour les gardiens),Penaltys attrapés (que pour les gardiens),Buts soufferts (que pour les gardiens)
ZAG,Victor Ramos,19,12,45,1,0,4,3,1,1,0,36,34,1,6,1,0,0,0
ZAG,Alison,13,10,26,0,0,3,2,0,1,0,9,13,0,2,0,0,0,0
ZAG,Henrique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Kadu,12,11,16,0,0,3,1,0,0,0,11,11,1,2,0,0,0,0
ZAG,Cardoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Wellington,4,3,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ZAG,Jorge Fellipe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Vilson,8,3,21,0,0,2,2,1,0,0,3,14,0,2,0,0,0,0
ZAG,Wallace Reis,13,10,11,0,0,0,2,0,0,0,13,9,0,1,0,0,0,0
ZAG,Donatti,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Paulo Ricardo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Adryelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Rafael Dumas,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Durval,19,13,68,0,0,2,2,1,3,0,22,28,0,5,0,0,0,0
ZAG,Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Walter Guimarães,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ZAG,Léo Duarte,7,4,8,0,0,1,0,0,1,0,7,4,0,2,0,0,0,0
ZAG,Lucas Rex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Leandro Almeida,2,3,3,0,0,1,0,0,0,0,2,8,0,0,0,0,0,0
ZAG,Henrique Mattos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Renan Fonseca,16,10,51,0,0,1,3,0,0,0,12,11,0,2,0,0,0,0
ZAG,Douglas Grolli,18,15,29,0,1,0,1,1,4,0,11,25,0,4,0,0,0,0
ZAG,Sueliton,15,20,33,1,0,0,1,0,0,0,18,18,0,3,0,0,0,0
ZAG,Yago,15,4,13,0,0,0,6,0,0,0,11,12,1,3,1,0,0,0
ZAG,Oswaldo,3,0,6,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0
ZAG,Renato Chaves,2,1,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
ZAG,César Martins,3,1,15,0,0,0,1,0,0,0,1,2,0,1,1,0,0,0
ZAG,Lucão,3,2,5,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0
ZAG,Nathan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Rafael Lima,7,2,8,1,0,0,1,0,1,0,8,1,0,2,0,0,0,0
ZAG,Ygor Nogueira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Augusto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Emerson Silva,17,13,55,0,0,1,1,0,0,0,25,24,0,1,0,0,0,0
ZAG,Oswaldo Henríquez,3,2,7,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0
ZAG,Rafael Thyere,5,1,5,0,0,0,1,0,0,0,5,3,0,1,0,0,0,0
ZAG,Zé Ivaldo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Scalon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Lucão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
