Position,Nom,Matchs,Fautes soumises,Passes ratées,Dernières passes avant un tir,Tirs cadrés se dirigeant soit au poteau entrant soit à la barre entrante,Tirs attrappés,Tirs non cadrés,Buts,Hors jeu,Penalty raté,Interceptions,Fautes commises,But contre son camp (c.s.c) ou autogoal,Cartons jaunes,Cartons rouges,Ballons attrapés (que pour les gardiens),Penaltys attrapés (que pour les gardiens),Buts soufferts (que pour les gardiens)
MEI,Guilherme,22,18,69,2,1,5,8,4,0,0,14,16,0,2,0,0,0,0
MEI,Marlone,17,23,34,3,0,6,8,4,0,0,12,5,0,0,0,0,0,0
LAT,Carlos Cesar,20,16,55,1,0,0,3,2,0,0,36,35,0,3,0,0,0,0
MEI,Otero,9,23,14,2,1,3,8,1,0,0,9,15,0,4,0,0,0,0
GOL,Vanderlei,29,8,8,0,0,0,0,0,0,0,0,1,0,0,1,53,0,26
ZAG,Thiego,26,22,76,0,1,3,11,5,2,0,23,23,0,3,2,0,0,0
GOL,Victor,27,3,19,0,0,0,0,0,0,0,1,0,0,1,0,35,0,35
ATA,Kempes,20,23,32,2,0,10,15,7,13,0,11,45,0,2,0,0,0,0
ATA,Ananias,12,14,27,0,0,4,4,2,1,0,15,16,0,3,0,0,0,0
LAT,Dener Assunção,22,24,69,0,0,3,7,2,2,0,27,26,0,1,0,0,0,0
ATA,Grafite,25,32,49,2,1,19,15,10,31,1,5,56,0,5,0,0,0,0
ZAG,Leonardo Silva,23,39,54,0,0,3,10,0,1,0,30,31,0,3,0,0,0,0
ZAG,Juninho,29,24,94,1,1,8,11,1,0,0,49,35,1,4,0,0,0,0
LAT,Nino Paraíba,19,30,65,2,0,9,5,0,0,0,22,27,0,1,0,0,0,0
ZAG,Kannemann,8,7,10,0,0,0,0,0,1,0,9,13,0,4,0,0,0,0
LAT,Edílson,23,29,115,2,1,12,10,1,0,0,39,44,0,8,1,0,0,0
LAT,Patric,16,5,38,4,1,8,3,2,4,0,10,16,0,1,0,0,0,0
TEC,Marcelo Oliveira,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATA,Lucas Pratto,14,14,37,1,1,4,5,3,2,0,4,13,0,1,0,0,0,0
LAT,Alan Ruschel,3,3,5,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0
ATA,Keno,27,51,103,5,0,12,27,9,13,0,30,22,0,3,0,0,0,0
MEI,Anselmo,10,5,20,0,0,1,3,0,0,0,18,18,0,5,0,0,0,0
LAT,Victor Luis,14,18,38,4,0,0,7,0,0,0,30,14,0,4,0,0,0,0
GOL,Weverton,23,5,15,0,0,0,0,0,0,0,0,3,0,4,0,25,0,22
ATA,Pedro Rocha,18,5,28,1,1,8,11,3,1,0,11,8,0,1,0,0,0,0
ATA,Rhayner,15,22,34,3,0,2,7,2,4,0,18,14,0,0,0,0,0,0
ATA,Clayton,22,22,48,3,0,10,10,3,5,0,12,22,0,4,0,0,0,0
ATA,Fernandinho,18,25,21,3,1,1,13,3,1,0,10,19,0,1,1,0,0,0
ZAG,Werley,15,15,25,1,0,3,0,0,1,0,18,12,0,3,0,0,0,0
GOL,Rafael,9,4,12,0,0,0,0,0,0,0,0,0,0,0,0,8,1,6
GOL,Gatito Fernández,20,4,8,0,0,0,0,0,0,0,0,0,0,1,1,29,2,23
MEI,Camacho,10,9,12,1,0,2,2,0,0,0,17,12,0,0,0,0,0,0
ATA,Marcos Junior,23,31,52,1,1,10,7,6,7,0,10,25,0,4,0,0,0,0
ZAG,Erazo,15,7,42,0,0,0,2,0,0,0,16,9,0,3,0,0,0,0
GOL,Danilo,23,8,14,0,0,0,0,0,0,0,0,0,0,3,0,42,1,36
TEC,Caio Júnior,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Emerson Santos,21,20,57,0,0,3,8,0,0,0,37,21,0,2,0,0,0,0
ATA,Lucca,16,15,35,1,0,5,12,3,2,0,6,18,0,1,0,0,0,0
GOL,Sidão,23,4,7,0,0,1,0,0,0,0,0,0,0,2,0,34,2,24
LAT,Gimenez,26,46,66,1,0,0,2,0,2,0,26,32,0,5,0,0,0,0
GOL,Jailson,12,3,11,0,0,0,0,0,0,0,0,0,0,2,0,16,0,8
LAT,Bryan,9,8,39,0,0,1,4,0,0,0,12,8,0,2,1,0,0,0
ZAG,Edu Dracena,15,16,26,0,0,3,5,0,4,0,14,22,0,4,0,0,0,0
ATA,Sassá,18,15,14,0,1,9,7,10,8,0,7,15,0,2,0,0,0,0
MEI,Lucas Lima,18,49,102,2,1,6,9,1,7,0,22,30,0,4,1,0,0,0
MEI,Paulo Roberto,11,14,31,0,0,0,1,0,0,0,23,17,0,4,0,0,0,0
ATA,Vitinho,21,38,69,4,1,5,19,6,6,0,21,38,0,6,0,0,0,0
ATA,Copete,17,21,45,4,0,4,8,6,8,0,16,44,0,5,0,0,0,0
LAT,Marcelo Oliveira,22,15,54,0,1,2,4,1,2,0,26,36,0,6,0,0,0,0
ATA,Fred,27,51,79,4,3,9,20,11,15,0,9,55,0,4,1,0,0,0
MEI,Wendel,12,22,18,1,0,4,4,3,1,0,6,23,0,4,0,0,0,0
MEI,Henrique,26,53,69,0,0,3,11,3,0,0,58,34,0,5,0,0,0,0
MEI,Osman,22,28,101,0,1,11,21,2,12,1,28,32,0,5,0,0,0,0
ATA,Dudu,26,82,108,9,1,11,8,4,8,0,19,29,0,3,0,0,0,0
ZAG,Fabián Noguera,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ZAG,Pedro Geromel,23,17,58,0,1,3,5,3,2,0,38,19,0,4,0,0,0,0
LAT,Gilson,16,22,52,0,0,3,3,0,2,0,20,18,0,4,0,0,0,0
LAT,Jorge,24,30,64,0,0,2,9,2,1,0,50,23,0,4,0,0,0,0
TEC,Fábio Carille,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Lucas Romero,18,16,52,0,0,0,8,0,1,0,39,31,0,5,2,0,0,0
MEI,Airton,15,48,48,0,0,1,3,0,0,0,34,30,0,6,0,0,0,0
MEI,Marquinhos Gabriel,28,43,103,3,0,9,13,5,6,1,24,19,0,3,0,0,0,0
GOL,João Ricardo,27,0,22,0,0,0,0,0,0,0,0,2,0,2,0,38,0,46
LAT,Fábio Santos,15,14,45,4,0,0,2,0,0,0,19,10,0,2,0,0,0,0
MEI,Marcelo,16,15,45,0,0,1,6,2,2,0,31,31,0,5,0,0,0,0
MEI,Hudson,18,24,20,0,0,5,10,0,0,0,53,47,0,5,0,0,0,0
ZAG,Walisson Maia,7,4,9,0,0,0,0,1,0,0,5,14,0,1,0,0,0,0
ATA,Luan,22,61,88,2,4,14,31,6,10,0,22,28,0,6,0,0,0,0
LAT,Alemão,3,3,14,0,0,1,2,0,0,0,5,12,0,0,0,0,0,0
TEC,Renato Gaúcho,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,César Benítez,10,6,19,0,0,0,0,0,0,0,11,10,0,3,0,0,0,0
MEI,Thiago Maia,23,24,90,1,0,1,5,0,4,0,42,41,0,3,0,0,0,0
GOL,Aranha,11,0,5,1,0,0,0,0,0,0,0,0,0,1,0,8,0,14
GOL,Wilson,30,2,12,0,0,0,0,0,0,0,0,0,0,0,0,49,0,34
TEC,Dorival Júnior,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Giovanni Augusto,25,37,100,4,0,13,9,2,2,0,26,34,0,3,0,0,0,0
MEI,Cícero,27,48,83,2,0,10,18,7,12,1,24,39,0,8,0,0,0,0
ZAG,Antonio Carlos,6,6,7,0,0,0,2,0,0,0,2,11,0,2,0,0,0,0
GOL,Bruno Grassi,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,6
TEC,Jair Ventura,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Neto,3,2,5,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0
LAT,Victor Ferraz,29,22,107,2,0,4,3,1,5,0,39,19,0,3,0,0,0,0
MEI,Cleber Santana,28,25,88,4,0,9,15,0,0,0,37,37,0,4,0,0,0,0
ATA,Kieza,28,54,49,2,2,15,19,8,21,0,14,54,0,8,0,0,0,0
GOL,Alex Muralha,26,5,11,0,0,0,0,0,0,0,0,0,0,1,0,37,0,24
ZAG,Vitor Hugo,28,12,57,1,0,2,5,4,1,0,20,28,0,6,0,0,0,0
LAT,Wellington Silva,24,47,74,0,1,5,4,1,2,0,56,38,0,6,0,0,0,0
MEI,Rafinha,14,18,34,1,0,2,8,2,4,0,15,8,0,2,0,0,0,0
GOL,Fernando Miguel,24,9,9,0,0,0,0,0,0,0,0,0,0,2,0,34,2,32
LAT,Ayrton,24,35,84,1,0,6,8,2,0,0,28,19,0,1,0,0,0,0
MEI,Rodrigo Lindoso,17,19,46,2,1,1,6,0,0,0,43,17,0,1,0,0,0,0
MEI,Gustavo Ferrareis,21,19,43,1,0,9,11,1,2,0,14,30,0,2,0,0,0,0
MEI,Walace,20,25,77,1,0,7,10,1,0,0,37,30,0,6,0,0,0,0
ZAG,David Braz,14,2,49,0,0,0,1,0,0,0,15,9,0,2,0,0,0,0
TEC,Eduardo Baptista,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Josa,3,4,7,0,1,0,0,0,0,0,2,5,0,1,0,0,0,0
LAT,Diego Renan,28,32,113,6,2,14,16,4,1,1,47,29,0,5,1,0,0,0
TEC,Mano Menezes,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOL,Danilo Fernandes,19,3,10,0,0,0,0,0,0,0,0,0,0,1,0,25,1,18
MEI,Júnior Urso,19,22,39,0,0,6,9,3,0,0,42,15,0,3,0,0,0,0
TEC,Carpegiani,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Lucho González,4,4,12,0,0,1,2,0,1,0,5,2,0,0,0,0,0,0
MEI,Maycon,14,2,39,2,1,4,3,0,0,0,7,14,0,0,0,0,0,0
LAT,Roberto,6,3,12,0,0,0,1,0,0,0,7,6,0,1,1,0,0,0
MEI,Diego,10,28,42,1,1,6,5,3,3,0,15,15,0,2,0,0,0,0
MEI,Willian Farias,26,31,57,1,0,2,7,1,0,0,52,39,0,6,0,0,0,0
ZAG,Bruno Rodrigo,26,17,46,0,1,1,14,1,1,0,26,15,0,4,0,0,0,0
LAT,Léo Moura,25,18,94,3,1,3,1,0,0,0,32,14,0,3,0,0,0,0
LAT,Diogo Mateus,11,12,35,0,0,4,3,0,0,0,13,16,0,2,0,0,0,0
MEI,Juninho,23,17,64,0,0,6,5,2,0,0,41,39,0,3,0,0,0,0
ATA,Leandro Damião,9,12,12,1,0,8,6,2,1,1,5,12,0,3,0,0,0,0
ZAG,Luccas Claro,21,15,53,1,0,1,6,2,1,0,20,22,0,8,0,0,0,0
LAT,Daniel Guedes,2,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ATA,Iago,16,10,22,0,1,4,9,2,1,0,11,15,0,3,0,0,0,0
ZAG,Maicon,25,14,74,0,1,7,8,1,3,0,31,14,0,2,0,0,0,0
MEI,Zé Roberto,22,27,38,2,0,0,4,1,2,0,38,27,0,3,0,0,0,0
TEC,Enderson Moreira,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATA,Roger,24,23,46,4,1,10,15,7,17,0,13,29,0,5,0,0,0,0
ZAG,Balbuena,23,8,47,2,0,5,12,0,1,0,12,24,0,5,1,0,0,0
LAT,Reinaldo,28,30,114,5,1,12,16,2,1,0,33,34,0,7,0,0,0,0
LAT,Ezequiel,7,12,11,0,0,0,0,0,1,0,9,12,0,3,0,0,0,0
MEI,Arthur Maia,18,18,38,5,1,6,4,2,0,0,8,12,0,2,0,0,0,0
MEI,Cárdenas,12,18,47,1,2,1,1,0,0,0,17,20,0,1,0,0,0,0
MEI,Matheus Biteco,10,2,14,0,0,4,2,0,0,0,17,13,0,1,0,0,0,0
MEI,Raphael Veiga,14,22,31,3,0,13,13,2,2,0,9,21,0,0,0,0,0,0
MEI,Thiago Mendes,24,39,72,0,1,6,12,1,2,0,48,31,0,7,0,0,0,0
ATA,Nixon,7,14,14,0,1,1,6,0,1,0,0,8,0,0,0,0,0,0
ZAG,Léo,8,1,29,0,0,0,7,0,0,0,6,5,0,1,0,0,0,0
ATA,Richarlison,20,33,30,1,0,5,9,2,7,0,9,24,0,1,0,0,0,0
MEI,Alex,18,20,33,2,0,7,9,1,1,0,12,20,0,5,1,0,0,0
ATA,Leandro,19,18,30,2,2,8,5,3,16,0,11,25,0,4,0,0,0,0
TEC,Cuca,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Marquinhos Pedroso,22,32,55,2,0,2,3,0,0,0,23,53,0,4,1,0,0,0
TEC,Zé Ricardo,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEC,Argel Fucks,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Jean,27,19,85,4,0,10,17,4,2,1,31,30,0,3,0,0,0,0
ZAG,Joel Carli,9,3,21,0,0,0,1,0,1,0,9,8,0,5,0,0,0,0
LAT,Pará,19,21,55,5,1,0,6,0,3,0,23,20,0,3,0,0,0,0
LAT,Jonas,15,9,51,1,0,2,3,3,3,0,13,33,0,6,0,0,0,0
LAT,Léo Principe,5,10,17,0,0,0,0,1,0,0,8,8,0,0,1,0,0,0
LAT,Buffarini,11,26,32,0,0,2,3,0,0,0,23,27,0,5,0,0,0,0
MEI,Leandro Guerreiro,26,12,84,1,0,1,8,0,1,0,40,37,0,7,0,0,0,0
ZAG,Eduardo,5,4,7,0,0,0,1,0,0,0,3,8,0,0,0,0,0,0
MEI,Robinho,19,21,75,6,1,3,6,3,2,0,24,25,0,2,0,0,0,0
MEI,Willian Arão,29,21,109,2,0,6,23,4,0,0,69,27,1,4,0,0,0,0
MEI,João Paulo,27,15,68,0,1,8,14,1,0,0,32,43,0,7,1,0,0,0
ZAG,Nery Bareiro,10,2,16,0,0,0,2,1,0,0,5,8,0,3,1,0,0,0
MEI,Ernandes,16,26,36,2,2,0,9,0,1,0,17,15,0,2,0,0,0,0
TEC,Celso Roth,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Wesley,17,20,43,0,0,4,6,1,1,0,25,24,0,3,0,0,0,0
ATA,Rodrigo Pimpão,14,6,40,1,0,3,4,1,1,0,7,17,0,2,0,0,0,0
ZAG,Marquinhos,13,9,18,0,0,1,1,0,2,0,8,17,0,3,0,0,0,0
ZAG,Fábio Ferreira,26,24,38,0,0,1,5,3,6,0,24,24,0,6,0,0,0,0
LAT,Zeca,23,15,81,0,0,4,4,3,0,0,37,26,0,7,0,0,0,0
MEI,Camilo,19,24,73,5,1,7,10,5,11,0,15,20,0,0,0,0,0,0
MEI,Jadson,12,4,28,0,0,3,2,0,1,0,10,11,0,1,0,0,0,0
ATA,Rafael Marques,18,9,23,2,0,5,2,1,2,0,7,6,0,2,0,0,0,0
ATA,Zé Eduardo,7,15,15,1,2,2,4,3,2,0,6,15,0,1,0,0,0,0
ATA,Andres Chavez,14,17,30,1,0,13,21,5,13,1,6,20,0,2,0,0,0,0
LAT,Éder Lima,7,1,12,0,0,1,2,0,0,0,5,5,0,1,0,0,0,0
TEC,Marquinhos Santos,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Otávio,27,25,60,0,0,7,8,1,0,0,44,36,0,3,0,0,0,0
MEI,Gustavo Scarpa,26,56,161,7,0,17,33,7,5,0,28,18,0,2,0,0,0,0
ZAG,Wanderson,11,4,14,0,0,0,3,0,1,0,4,5,0,1,0,0,0,0
ZAG,Luiz Felipe,24,18,48,0,1,3,2,1,0,0,29,20,0,6,0,0,0,0
TEC,Levir Culpi,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Thiago Santos,19,16,28,1,0,1,3,1,4,0,42,45,0,7,0,0,0,0
MEI,Ariel Cabral,17,12,43,0,0,0,6,0,0,0,16,25,0,3,0,0,0,0
ATA,Magno Alves,18,8,19,5,1,4,6,1,3,0,4,5,0,0,0,0,0,0
GOL,Walter,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10
ZAG,Messias,2,1,5,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0
MEI,Jean Carlos,2,3,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
ZAG,Thiago Heleno,26,19,56,0,0,5,7,3,0,0,18,16,0,5,0,0,0,0
MEI,Matheus Rossetto,11,4,19,0,0,0,1,1,1,0,7,4,0,0,0,0,0,0
TEC,Paulo Autuori,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,João Paulo,27,60,130,2,1,14,12,2,0,0,46,38,0,4,0,0,0,0
ATA,Wellington,12,41,35,1,1,4,3,1,9,0,13,7,0,4,0,0,0,0
ATA,Rodney Wallace,19,12,53,3,0,4,6,3,1,0,26,34,0,4,0,0,0,0
ZAG,Rodrigo Caio,12,8,12,0,1,1,3,0,1,0,10,13,1,1,0,0,0,0
LAT,Renan Lodi,1,1,7,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
TEC,Doriva,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Matheus Jesus,20,15,25,0,0,5,2,0,2,0,18,28,0,5,0,0,0,0
ATA,Guilherme Schettine,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
TEC,Ricardo Gomes,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Juan,22,46,92,6,1,8,10,4,4,1,37,27,0,2,1,0,0,0
MEI,Pierre,12,10,16,0,0,0,1,0,0,0,28,29,0,4,0,0,0,0
LAT,Uendel,26,14,92,3,0,7,2,2,3,0,25,18,0,2,0,0,0,0
MEI,Hyoran,15,16,34,1,0,10,4,2,0,0,11,18,0,2,0,0,0,0
MEI,Marquinho,10,11,6,0,0,0,4,1,0,0,4,3,0,1,0,0,0,0
MEI,Rafael Carioca,23,24,52,0,0,1,1,1,0,0,52,38,0,5,0,0,0,0
MEI,Douglas,26,29,140,4,1,11,13,4,2,0,18,33,0,3,0,0,0,0
MEI,Matheusinho,14,14,23,1,0,0,4,0,0,0,4,12,0,0,0,0,0,0
ZAG,Henrique,28,17,34,0,1,4,7,0,2,0,20,17,0,4,0,0,0,0
MEI,Ramiro,19,17,37,0,0,4,4,0,1,0,23,27,0,4,2,0,0,0
ATA,William Pottker,23,14,36,2,0,9,14,10,4,0,10,16,0,3,1,0,0,0
ATA,Eduardo Sasha,25,37,61,0,2,15,15,4,7,0,20,13,0,4,0,0,0,0
ATA,Pablo,26,17,81,0,1,10,19,6,9,0,18,40,0,5,0,0,0,0
MEI,Lincoln,8,9,9,1,0,0,2,0,0,0,3,5,0,1,1,0,0,0
MEI,Seijas,15,28,52,0,0,5,8,4,1,0,9,15,0,2,0,0,0,0
MEI,Maicon,17,25,73,1,0,5,5,0,1,0,36,34,0,5,0,0,0,0
ATA,Bruno Moraes,16,8,9,1,0,2,0,3,6,0,0,7,0,1,0,0,0,0
ATA,Neilton,27,53,87,2,0,14,17,8,10,1,24,32,0,1,0,0,0,0
ZAG,Rafael Vaz,23,12,118,1,0,7,13,0,0,0,22,8,0,2,0,0,0,0
ZAG,Ronaldo Alves,12,10,32,1,0,2,1,0,0,0,12,10,0,2,0,0,0,0
MEI,David,10,5,16,0,0,2,1,1,4,0,3,9,0,0,0,0,0,0
MEI,Rodriguinho,22,37,71,2,1,9,15,2,0,0,26,29,0,3,0,0,0,0
ATA,Vander,23,37,43,1,0,6,8,3,4,0,13,19,0,7,1,0,0,0
ATA,Róger Guedes,26,47,71,4,0,15,20,4,3,0,20,23,0,4,0,0,0,0
MEI,Everton,25,27,66,5,0,8,12,2,13,0,31,37,0,5,1,0,0,0
MEI,Tchê Tchê,29,34,81,2,0,3,11,1,3,0,35,33,0,4,0,0,0,0
MEI,Renato,30,21,100,3,0,4,2,2,1,0,46,25,0,2,0,0,0,0
MEI,Clayson,25,36,78,2,1,12,11,3,9,0,20,40,0,7,1,0,0,0
ATA,Rafael Sobis,16,32,44,2,1,17,17,3,1,0,14,11,0,5,0,0,0,0
MEI,Lucas Fernandes,5,1,6,1,0,5,0,1,0,0,3,4,0,1,0,0,0,0
MEI,Danilo,6,6,12,0,0,2,0,1,0,0,2,3,0,0,0,0,0,0
MEI,Dener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Elicarlos,18,22,37,0,0,0,2,0,0,0,29,17,0,3,0,0,0,0
MEI,Dátolo,6,0,3,1,0,0,2,0,0,0,4,2,0,0,0,0,0,0
MEI,Martinuccio,7,3,10,1,0,0,1,1,0,0,1,2,0,1,0,0,0,0
MEI,Fernando Bob,18,19,53,0,0,1,1,1,0,0,35,55,0,8,1,0,0,0
MEI,Vitor Bueno,27,40,92,3,3,18,18,10,3,0,29,23,0,2,0,0,0,0
MEI,Marcos Vinícius,5,0,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
MEI,Rodrigo Figueiredo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Wellington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Alípio,8,3,11,1,0,0,0,0,0,0,2,5,0,1,0,0,0,0
MEI,Leandro Domingues,9,8,12,2,0,3,2,1,2,0,1,11,0,0,0,0,0,0
MEI,Maicosuel,12,18,25,1,0,2,4,2,0,0,10,11,0,1,0,0,0,0
MEI,Michael Ortega,6,1,5,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0
MEI,Nicolas,10,10,32,1,0,1,2,0,0,0,10,11,0,0,0,0,0,0
MEI,Alison,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MEI,Moisés,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
MEI,Pisano,13,9,30,0,0,4,2,2,3,0,12,15,0,3,0,0,0,0
MEI,Alan Santos,14,7,26,0,0,3,5,1,0,0,14,31,0,4,0,0,0,0
MEI,Josimar,23,25,59,1,1,2,9,0,1,0,40,54,0,8,0,0,0,0
MEI,Ederson,8,12,7,0,1,4,2,1,0,0,6,9,0,2,0,0,0,0
MEI,Bady,18,16,55,1,0,2,14,2,0,0,12,16,0,2,0,0,0,0
MEI,Derley,12,12,16,1,0,1,3,0,0,0,18,30,0,5,1,0,0,0
MEI,Fernandes,17,12,44,1,1,5,6,2,3,0,25,21,0,2,0,0,0,0
MEI,Fernando Medeiros,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Lucas Paquetá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Gregore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Artur,4,3,9,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0
MEI,Denilson,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
MEI,Anderson,14,6,29,1,1,0,1,1,0,0,8,8,0,1,0,0,0,0
MEI,Abuda,6,1,8,0,0,2,0,0,0,0,7,8,0,1,0,0,0,0
MEI,Lizio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Balbino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Bruno Ramires,14,7,32,0,0,2,4,0,2,0,21,18,0,3,0,0,0,0
MEI,Ronaldo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Adryan,3,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MEI,Leandrinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Andrigo,10,9,21,1,0,4,6,0,0,0,6,19,0,2,0,0,0,0
MEI,Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Giovanny,10,6,9,0,0,5,3,0,0,0,2,3,0,1,0,0,0,0
MEI,Yan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Igor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Vinícius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Claudio Aquino,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
MEI,Arouca,2,1,2,0,0,0,0,0,0,0,2,4,0,2,0,0,0,0
MEI,Serginho,16,34,40,0,0,2,8,1,0,0,29,33,0,6,0,0,0,0
MEI,Élber,13,19,27,1,1,3,6,2,5,0,14,1,0,0,0,0,0,0
MEI,Jefferson,17,18,55,2,0,1,2,0,0,0,28,19,0,2,0,0,0,0
MEI,Alex,3,3,4,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0
MEI,João Pedro,4,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Fabrício,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Pablo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Daniel,5,4,6,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
MEI,Rafael Longuine,5,6,8,0,0,0,2,0,1,0,1,4,0,1,0,0,0,0
MEI,Tontini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Vitinho,2,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
MEI,Diego Lopes,4,4,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
MEI,Victor Feitosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Nikão,12,13,51,2,1,7,5,1,4,0,13,15,0,1,0,0,0,0
MEI,Yago,6,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
MEI,Guilherme Amorim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Matheus Sales,10,11,9,0,0,0,5,0,0,0,10,17,0,2,0,0,0,0
MEI,João Guima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Marciel,2,2,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0
MEI,Marcílio,4,0,9,1,0,0,1,1,0,0,8,9,0,1,0,0,0,0
MEI,Fábio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Thalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Rafael Oller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Amaral,3,0,4,1,0,0,1,1,0,0,2,3,0,1,0,0,0,0
MEI,Amaral,18,21,43,0,0,5,10,0,0,0,22,27,0,2,0,0,0,0
MEI,Jocinei,10,10,28,1,0,4,9,0,0,0,14,12,0,1,0,0,0,0
MEI,Jair,2,6,6,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0
MEI,Ruy,10,14,39,3,0,4,3,1,3,0,11,10,0,2,0,0,0,0
MEI,Neto Moura,7,8,22,0,0,2,4,0,0,0,12,7,0,1,0,0,0,0
MEI,Hyago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Kaio,4,6,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
MEI,Bruno Leonardo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI,Yan,5,2,12,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0
MEI,Michel Bastos,14,3,42,2,0,8,7,0,7,0,4,10,0,2,0,0,0,0
MEI,Edinho,20,22,41,1,0,3,8,0,1,0,23,42,0,7,0,0,0,0
