,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,PosicAbbrev
11,Alex Stepheson,MEM,28,8,2,6,72,0.305555555556,0.125,0.375,33.3,0.0,0.0,0.0,0.0555555555556,0.166666666667,33.3,0.263888888889,0.125,0.388888888889,0.0277777777778,0.0,0.0138888888889,0.0694444444444,0.166666666667,0.0138888888889,0.0,-0.0277777777778, PF
12,Alexis Ajinca,NOP,28,59,20,39,861,0.408826945412,0.174216027875,0.365853658537,47.6,0.0,0.00116144018583,0.0,0.0603948896632,0.0720092915215,83.9,0.0871080139373,0.225319396051,0.312427409988,0.0360046457607,0.0627177700348,0.0220673635308,0.0418118466899,0.155632984901,0.00464576074332,0.0,-0.075493612079, C
13,Allen Crabbe,POR,24,81,43,38,2105,0.395249406176,0.147743467933,0.322090261283,45.9,0.0532066508314,0.13539192399,39.3,0.0465558194774,0.0536817102138,86.7,0.0128266033254,0.0897862232779,0.102612826603,0.0470308788599,0.0304038004751,0.0299287410926,0.00760095011876,0.0912114014252,0.0,0.0,0.0204275534442, SG
14,Alonzo Gee,NOP,29,73,27,46,1632,0.199142156863,0.0808823529412,0.15625,51.8,0.0104166666667,0.0367647058824,28.3,0.0269607843137,0.0404411764706,66.7,0.0367647058824,0.113357843137,0.15012254902,0.0441176470588,0.0337009803922,0.0386029411765,0.00796568627451,0.103553921569,0.0,0.0,-0.119485294118, SF
15,Amar'e Stoudemire,MIA,33,52,30,22,762,0.393700787402,0.164041994751,0.290026246719,56.6,0.0,0.0,0.0,0.0656167979003,0.0879265091864,74.6,0.0853018372703,0.206036745407,0.291338582677,0.0354330708661,0.0616797900262,0.0236220472441,0.0538057742782,0.120734908136,0.00262467191601,0.0,0.0144356955381, C
16,Amir Johnson,BOS,29,79,45,34,1800,0.320555555556,0.138333333333,0.236666666667,58.5,0.00555555555556,0.0238888888889,23.3,0.0383333333333,0.0672222222222,57.0,0.0988888888889,0.181666666667,0.280555555556,0.0766666666667,0.0522222222222,0.0288888888889,0.0461111111111,0.118888888889,0.00444444444444,0.0,0.0755555555556, PF
17,Anderson Varejao,GSW,33,53,41,12,496,0.278225806452,0.10685483871,0.25,42.7,0.0,0.00201612903226,0.0,0.0645161290323,0.100806451613,64.0,0.0745967741935,0.209677419355,0.284274193548,0.070564516129,0.0443548387097,0.0322580645161,0.0201612903226,0.141129032258,0.0,0.0,0.0423387096774, C
18,Andre Drummond,DET,22,81,43,38,2666,0.492873218305,0.207051762941,0.39759939985,52.1,0.000750187546887,0.00225056264066,33.3,0.0780195048762,0.219804951238,35.5,0.14816204051,0.301200300075,0.449362340585,0.0251312828207,0.0581395348837,0.0446361590398,0.0420105026257,0.0918979744936,0.0247561890473,0.0,0.0472618154539, C
19,Andre Iguodala,GSW,32,65,59,6,1732,0.263856812933,0.101616628176,0.21247113164,47.8,0.0311778290993,0.0889145496536,35.1,0.0294457274827,0.04792147806,61.4,0.0300230946882,0.12182448037,0.151847575058,0.126443418014,0.0456120092379,0.0421478060046,0.0109699769053,0.0588914549654,0.000577367205543,0.0,0.264434180139, SF
20,Andre Miller,SAS,40,39,20,19,461,0.312364425163,0.127982646421,0.229934924078,55.7,0.00433839479393,0.0173535791757,25.0,0.0520607375271,0.0694143167028,75.0,0.0260303687636,0.0845986984816,0.110629067245,0.188720173536,0.0802603036876,0.0347071583514,0.0,0.0997830802603,0.0,0.0,0.0694143167028, PG
21,Andre Roberson,OKC,24,70,48,22,1553,0.216999356085,0.0875724404379,0.176432710882,49.6,0.020605280103,0.0663232453316,31.1,0.0212491951062,0.0347714101739,61.1,0.0508692852543,0.110753380554,0.161622665808,0.0302640051513,0.0225370251127,0.0341274951706,0.0270444301352,0.0856406954282,0.0,0.0,0.16806181584, SF
22,Andrea Bargnani,BKN,30,46,11,35,634,0.479495268139,0.200315457413,0.440063091483,45.5,0.00473186119874,0.0252365930599,18.8,0.0741324921136,0.089905362776,82.5,0.0441640378549,0.108832807571,0.152996845426,0.0283911671924,0.0410094637224,0.00630914826498,0.0141955835962,0.096214511041,0.0,0.0,-0.301261829653, C
23,Andrew Bogut,GSW,31,70,62,8,1451,0.25844245348,0.120606478291,0.192281185389,62.7,0.000689179875948,0.000689179875948,100.0,0.0165403170227,0.0344589937974,48.0,0.0833907649897,0.255685733977,0.339076498966,0.111647139904,0.0572019297037,0.0227429359063,0.078566505858,0.152308752584,0.00344589937974,0.0,0.273604410751, C
24,Andrew Goudelock,HOU,27,8,5,3,50,0.44,0.18,0.4,45.0,0.02,0.18,11.1,0.06,0.08,75.0,0.02,0.02,0.04,0.08,0.14,0.12,0.04,0.08,0.0,0.0,0.2, PG
25,Andrew Nicholson,ORL,26,56,22,34,823,0.466585662211,0.177399756987,0.376670716889,47.1,0.0498177399757,0.138517618469,36.0,0.0619684082625,0.0789793438639,78.5,0.041312272175,0.202916160389,0.244228432564,0.0303766707169,0.0498177399757,0.0121506682868,0.0267314702309,0.0838396111786,0.0,0.0,0.041312272175, PF
26,Andrew Wiggins,MIN,21,81,29,52,2845,0.588752196837,0.208787346221,0.454833040422,45.9,0.0200351493849,0.066783831283,30.0,0.151142355009,0.198594024605,76.1,0.0369068541301,0.0653778558875,0.102284710018,0.0576449912127,0.0639718804921,0.0274165202109,0.0161687170475,0.0579964850615,0.000351493848858,0.0,-0.0235500878735, SF
27,Anthony Bennett,TOR,23,19,12,7,84,0.333333333333,0.0952380952381,0.321428571429,29.6,0.0357142857143,0.166666666667,21.4,0.107142857143,0.119047619048,90.0,0.0714285714286,0.202380952381,0.27380952381,0.0,0.047619047619,0.0595238095238,0.0,0.0952380952381,0.0,0.0,-0.357142857143, PF
28,Anthony Brown,LAL,23,29,4,25,599,0.191986644407,0.0651085141903,0.210350584307,31.0,0.0333889816361,0.116861435726,28.6,0.0283806343907,0.0333889816361,85.0,0.0150250417362,0.10183639399,0.116861435726,0.0317195325543,0.025041736227,0.0233722871452,0.00834724540902,0.0567612687813,0.0,0.0,-0.0584307178631, SF
29,Anthony Davis,NOP,23,61,24,37,2164,0.68438077634,0.258780036969,0.524953789279,49.3,0.0161737523105,0.0499075785582,32.4,0.150646950092,0.198706099815,75.8,0.0600739371534,0.22966728281,0.289741219963,0.0536044362292,0.0559149722736,0.0360443622921,0.0577634011091,0.0683918669131,0.0166358595194,0.0,-0.0924214417745, PF
30,Anthony Morrow,OKC,30,68,46,22,926,0.410367170626,0.14686825054,0.359611231102,40.8,0.085313174946,0.22030237581,38.7,0.0313174946004,0.0421166306695,74.4,0.0107991360691,0.0561555075594,0.0669546436285,0.0259179265659,0.0183585313175,0.0237580993521,0.00539956803456,0.0691144708423,0.0,0.0,0.11879049676, SG
31,Anthony Tolliver,DET,31,72,36,36,1341,0.285607755406,0.0954511558538,0.247576435496,38.6,0.0730797912006,0.202833706189,36.0,0.0216256524981,0.0350484712901,61.7,0.0290827740492,0.141685309471,0.17076808352,0.0387770320656,0.020879940343,0.0193885160328,0.0119313944817,0.0641312453393,0.0,0.0,0.00596569724087, PF
32,Archie Goodwin,PHX,21,57,14,43,1114,0.453321364452,0.157989228007,0.37881508079,41.7,0.0206463195691,0.088868940754,23.2,0.116696588869,0.173249551167,67.4,0.024236983842,0.103231597846,0.127468581688,0.10592459605,0.0897666068223,0.024236983842,0.0116696588869,0.0754039497307,0.000897666068223,0.0,-0.187612208259, SG
33,Aron Baynes,DET,29,81,43,38,1233,0.416869424169,0.157339821573,0.311435523114,50.5,0.0,0.00162206001622,0.0,0.102189781022,0.133819951338,76.4,0.113544201135,0.197891321979,0.311435523114,0.0413625304136,0.0543390105434,0.0170316301703,0.0421735604217,0.122465531225,0.00081103000811,0.0,-0.0446066504461, C
34,Arron Afflalo,NYK,30,71,27,44,2371,0.383382539013,0.149304091101,0.3369886124,44.3,0.0383804301982,0.100379586672,38.2,0.0463939266132,0.0552509489667,84.0,0.00970054829186,0.102488401518,0.11218894981,0.0607338675664,0.0345845634753,0.0105440742303,0.00421762969211,0.059890341628,0.000421762969211,0.0,-0.0628426824125, SG
35,Austin Rivers,LAC,23,67,42,25,1464,0.405054644809,0.154371584699,0.352459016393,43.8,0.042349726776,0.126366120219,33.5,0.0539617486339,0.0792349726776,68.1,0.0150273224044,0.0737704918033,0.0887978142077,0.0676229508197,0.0416666666667,0.0327868852459,0.00614754098361,0.0935792349727,0.0,0.0,-0.109972677596, PG
36,Avery Bradley,BOS,25,76,45,31,2536,0.455441640379,0.179810725552,0.401813880126,44.7,0.0579652996845,0.160488958991,36.1,0.0378548895899,0.0485015772871,78.0,0.018927444795,0.0678233438486,0.0867507886435,0.0623028391167,0.0429810725552,0.0461356466877,0.00749211356467,0.0646687697161,0.0,0.0,0.083596214511, SG
37,Axel Toupane,DEN,23,21,9,12,305,0.249180327869,0.0819672131148,0.229508196721,35.7,0.0426229508197,0.131147540984,32.5,0.0426229508197,0.055737704918,76.5,0.0262295081967,0.0754098360656,0.101639344262,0.0491803278689,0.0196721311475,0.0229508196721,0.0196721311475,0.131147540984,0.0,0.0,-0.055737704918, SG
38,Ben McLemore,SAC,23,68,28,40,1443,0.367983367983,0.135135135135,0.315315315315,42.9,0.046431046431,0.128205128205,36.2,0.0512820512821,0.0713790713791,71.8,0.023562023562,0.0790020790021,0.102564102564,0.0547470547471,0.0686070686071,0.036036036036,0.00693000693001,0.0970200970201,0.0,0.0,0.01386001386, SG
39,Beno Udrih,MEM,33,44,26,18,708,0.289548022599,0.121468926554,0.279661016949,43.4,0.021186440678,0.0621468926554,34.1,0.0254237288136,0.0282485875706,90.0,0.0112994350282,0.090395480226,0.101694915254,0.16384180791,0.0748587570621,0.0197740112994,0.00141242937853,0.0720338983051,0.00141242937853,0.0,-0.0324858757062, PG
40,Bismack Biyombo,TOR,23,82,56,26,1808,0.25110619469,0.0862831858407,0.159292035398,54.2,0.0,0.000553097345133,0.0,0.0785398230088,0.125,62.8,0.100663716814,0.261615044248,0.362278761062,0.0160398230088,0.0392699115044,0.0105088495575,0.0735619469027,0.124446902655,0.00497787610619,0.0,0.0470132743363, C
41,Blake Griffin,LAC,27,35,22,13,1170,0.640170940171,0.257264957265,0.515384615385,49.9,0.00512820512821,0.0153846153846,33.3,0.120512820513,0.165811965812,72.7,0.0435897435897,0.207692307692,0.251282051282,0.145299145299,0.0709401709402,0.0239316239316,0.0145299145299,0.0811965811966,0.0111111111111,0.0,0.155555555556, PF
42,Boban Marjanovic,SAS,27,54,47,7,508,0.584645669291,0.206692913386,0.342519685039,60.3,0.0,0.0,0.0,0.17125984252,0.224409448819,76.3,0.143700787402,0.238188976378,0.38188976378,0.0413385826772,0.0570866141732,0.0236220472441,0.0452755905512,0.106299212598,0.00590551181102,0.0,0.108267716535, C
43,Bobby Portis,CHI,21,62,29,33,1102,0.395644283122,0.168784029038,0.395644283122,42.7,0.0145190562613,0.0471869328494,30.8,0.043557168784,0.059891107078,72.7,0.111615245009,0.194192377495,0.305807622505,0.0471869328494,0.049001814882,0.0226860254083,0.0199637023593,0.0907441016334,0.005444646098,0.0,-0.161524500907, PF
44,Bojan Bogdanovic,BKN,27,79,21,58,2115,0.41938534279,0.153191489362,0.354137115839,43.3,0.0609929078014,0.159810874704,38.2,0.0520094562648,0.0624113475177,83.3,0.0170212765957,0.103546099291,0.120567375887,0.0468085106383,0.0543735224586,0.0137115839243,0.00236406619385,0.0562647754137,0.000472813238771,0.0,-0.184869976359, SG
45,Boris Diaw,SAS,34,76,64,12,1386,0.349927849928,0.145743145743,0.276334776335,52.7,0.0180375180375,0.0497835497835,36.2,0.040404040404,0.0548340548341,73.7,0.041847041847,0.126262626263,0.16810966811,0.126984126984,0.0699855699856,0.018759018759,0.0151515151515,0.0735930735931,0.0,0.0,0.210678210678, C
46,Bradley Beal,WAS,23,55,28,27,1708,0.560889929742,0.21018735363,0.467798594848,44.9,0.0614754098361,0.158665105386,38.7,0.0790398126464,0.103044496487,76.7,0.0240046838407,0.0860655737705,0.110070257611,0.0948477751756,0.0655737704918,0.0316159250585,0.00644028103044,0.0685011709602,0.0,0.0,-0.0140515222482, SG
47,Brandan Wright,MEM,28,12,6,6,212,0.391509433962,0.165094339623,0.245283018868,67.3,0.0,0.0,0.0,0.061320754717,0.11320754717,54.2,0.0660377358491,0.13679245283,0.202830188679,0.0283018867925,0.0471698113208,0.0235849056604,0.0707547169811,0.0990566037736,0.0,0.0,-0.268867924528, PF
48,Branden Dawson,LAC,23,6,5,1,29,0.172413793103,0.0689655172414,0.172413793103,40.0,0.0,0.0,0.0,0.0344827586207,0.0344827586207,100.0,0.0689655172414,0.0689655172414,0.137931034483,0.0,0.0,0.0,0.0344827586207,0.0689655172414,0.0,0.0,-0.51724137931, SF
49,Brandon Bass,LAL,31,66,16,50,1342,0.352459016393,0.129657228018,0.236214605067,54.9,0.0,0.00149031296572,0.0,0.0931445603577,0.110283159463,84.5,0.0774962742176,0.134873323398,0.212369597615,0.0551415797317,0.0312965722802,0.0245901639344,0.0409836065574,0.0931445603577,0.0,0.0,-0.016393442623, PF
50,Brandon Jennings,ORL,26,48,20,28,867,0.382929642445,0.129181084198,0.350634371396,36.8,0.0588235294118,0.17877739331,32.9,0.0657439446367,0.0899653979239,73.1,0.0184544405998,0.0922722029988,0.110726643599,0.196078431373,0.0657439446367,0.0334486735871,0.0080738177624,0.0657439446367,0.00115340253749,0.0,0.0149942329873, PG
51,Brandon Knight,PHX,24,52,16,36,1870,0.544385026738,0.198395721925,0.478609625668,41.5,0.0641711229947,0.187700534759,34.2,0.083422459893,0.0978609625668,85.2,0.0192513368984,0.0887700534759,0.108021390374,0.14064171123,0.0946524064171,0.0326203208556,0.0106951871658,0.0663101604278,0.00213903743316,0.000534759358289,-0.111229946524, PG
52,Brandon Rush,GSW,30,72,63,9,1055,0.289099526066,0.105213270142,0.24644549763,42.7,0.0616113744076,0.148815165877,41.4,0.0170616113744,0.0265402843602,64.3,0.0199052132701,0.151658767773,0.171563981043,0.054028436019,0.0312796208531,0.0189573459716,0.0218009478673,0.054028436019,0.0,0.0,-0.0312796208531, SG
53,Brian Roberts,POR,30,51,26,25,470,0.436170212766,0.157446808511,0.351063829787,44.8,0.031914893617,0.0893617021277,35.7,0.0893617021277,0.1,89.4,0.0127659574468,0.0744680851064,0.0872340425532,0.114893617021,0.0489361702128,0.0212765957447,0.00425531914894,0.0744680851064,0.0,0.0,-0.134042553191, PG
54,Briante Weber,MIA,23,7,3,4,169,0.183431952663,0.0828402366864,0.230769230769,35.9,0.0,0.0295857988166,0.0,0.0177514792899,0.0236686390533,75.0,0.0473372781065,0.100591715976,0.147928994083,0.12426035503,0.0532544378698,0.0532544378698,0.0177514792899,0.0710059171598,0.0,0.0,-0.396449704142, PG
55,Brook Lopez,BKN,28,73,21,52,2457,0.610907610908,0.240537240537,0.470899470899,51.1,0.000814000814001,0.00569800569801,14.3,0.129019129019,0.164021164021,78.7,0.0830280830281,0.150183150183,0.233211233211,0.0594220594221,0.0712250712251,0.023606023606,0.0504680504681,0.0875050875051,0.010582010582,0.0,-0.049247049247, C
56,Bruno Caboclo,TOR,20,6,6,0,43,0.0697674418605,0.0232558139535,0.279069767442,8.3,0.0232558139535,0.162790697674,14.3,0.0,0.0,0.0,0.0232558139535,0.0232558139535,0.046511627907,0.0232558139535,0.093023255814,0.046511627907,0.0232558139535,0.046511627907,0.0,0.0,-0.186046511628, SF
57,Bryce Cotton,MEM,23,8,1,7,39,0.205128205128,0.102564102564,0.25641025641,40.0,0.0,0.0769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769231,0.128205128205,0.0769230769231,0.0,0.0512820512821,0.0,0.0,-0.615384615385, PG
58,Bryce Dejean-Jones,NOP,23,14,8,6,279,0.283154121864,0.100358422939,0.247311827957,40.6,0.0430107526882,0.114695340502,37.5,0.0394265232975,0.0752688172043,52.4,0.0286738351254,0.143369175627,0.172043010753,0.0537634408602,0.0394265232975,0.0358422939068,0.00716845878136,0.0609318996416,0.0,0.0,-0.139784946237, SG
59,CJ McCollum,POR,24,80,44,36,2780,0.59928057554,0.230575539568,0.514748201439,44.8,0.0708633093525,0.169784172662,41.7,0.0672661870504,0.0812949640288,82.7,0.0169064748201,0.0762589928058,0.0931654676259,0.122661870504,0.0705035971223,0.0348920863309,0.00827338129496,0.0672661870504,0.000719424460432,0.0,0.0553956834532, SG
60,CJ Miles,IND,29,64,34,30,1464,0.514344262295,0.176912568306,0.43306010929,40.9,0.0969945355191,0.264344262295,36.7,0.0635245901639,0.0846994535519,75.0,0.0170765027322,0.102459016393,0.119535519126,0.0430327868852,0.0478142076503,0.0362021857923,0.0198087431694,0.0969945355191,0.0,0.0,0.00136612021858, SF
61,CJ Watson,ORL,32,33,14,19,656,0.216463414634,0.0716463414634,0.208841463415,34.3,0.0213414634146,0.0731707317073,29.2,0.0518292682927,0.0594512195122,87.2,0.015243902439,0.0853658536585,0.100609756098,0.134146341463,0.0381097560976,0.0289634146341,0.00762195121951,0.0746951219512,0.0,0.0,-0.077743902439, PG
62,CJ Wilcox,LAC,25,23,15,8,167,0.419161676647,0.155688622754,0.395209580838,39.4,0.0538922155689,0.137724550898,39.1,0.0538922155689,0.0718562874251,75.0,0.0059880239521,0.0658682634731,0.0718562874251,0.059880239521,0.0119760479042,0.059880239521,0.0119760479042,0.0898203592814,0.0,0.0,0.131736526946, SG
63,Cameron Bairstow,DET,25,18,4,14,103,0.330097087379,0.126213592233,0.388349514563,32.5,0.00970873786408,0.0485436893204,20.0,0.0679611650485,0.0776699029126,87.5,0.0388349514563,0.233009708738,0.271844660194,0.0582524271845,0.0388349514563,0.0194174757282,0.0291262135922,0.184466019417,0.0,0.0,-0.0776699029126, PF
64,Cameron Payne,OKC,21,57,44,13,698,0.405444126074,0.163323782235,0.398280802292,41.0,0.0515759312321,0.159025787966,32.4,0.0272206303725,0.0343839541547,79.2,0.012893982808,0.10888252149,0.121776504298,0.154727793696,0.0630372492837,0.0515759312321,0.00859598853868,0.114613180516,0.0,0.0,-0.0401146131805, PG
65,Carl Landry,PHI,32,36,5,31,569,0.616871704745,0.244288224956,0.439367311072,55.6,0.0105448154657,0.0228471001757,46.2,0.117750439367,0.15992970123,73.6,0.0861159929701,0.170474516696,0.256590509666,0.0562390158172,0.0386643233743,0.0210896309315,0.0158172231986,0.121265377856,0.0,0.0,-0.195079086116, PF
66,Carmelo Anthony,NYK,32,72,32,40,2530,0.621739130435,0.224110671937,0.516600790514,43.4,0.0415019762846,0.122529644269,33.9,0.132015810277,0.159288537549,82.9,0.0387351778656,0.181027667984,0.21976284585,0.118181818182,0.0695652173913,0.0245059288538,0.0150197628458,0.0711462450593,0.00869565217391,0.0,-0.0162055335968, SF
67,Caron Butler,SAC,36,17,2,15,176,0.357954545455,0.142045454545,0.335227272727,42.4,0.0170454545455,0.102272727273,16.7,0.0568181818182,0.0681818181818,83.3,0.0284090909091,0.0965909090909,0.125,0.0568181818182,0.0170454545455,0.0511363636364,0.00568181818182,0.107954545455,0.0,0.0,-0.232954545455, SF
68,Chandler Parsons,DAL,27,61,29,32,1799,0.465258476932,0.17787659811,0.36186770428,49.2,0.0578098943858,0.139521956643,41.4,0.0516953863257,0.0755975541968,68.4,0.0161200667037,0.142301278488,0.158421345192,0.0939410783769,0.0528071150639,0.0255697609783,0.011673151751,0.0633685380767,0.00166759310728,0.0,-0.00277932184547, SF
69,Channing Frye,CLE,33,70,35,35,1199,0.35446205171,0.126772310259,0.289407839867,43.8,0.0758965804837,0.195996663887,38.7,0.0250208507089,0.0291909924937,85.7,0.0291909924937,0.165971643036,0.19516263553,0.0592160133445,0.0358632193495,0.024186822352,0.023352793995,0.105921601334,0.0,0.0,0.0867389491243, PF
70,Charles Hayes,LAC,33,2,1,1,24,0.166666666667,0.0416666666667,0.0833333333333,50.0,0.0,0.0,0.0,0.0833333333333,0.0833333333333,100.0,0.0,0.333333333333,0.333333333333,0.0833333333333,0.125,0.0,0.0,0.25,0.0,0.0,-0.125, PF
71,Charlie Villanueva,DAL,31,62,29,33,665,0.47969924812,0.187969924812,0.491729323308,38.2,0.0706766917293,0.258646616541,27.3,0.0330827067669,0.0360902255639,91.7,0.0360902255639,0.192481203008,0.228571428571,0.0360902255639,0.0466165413534,0.0270676691729,0.0225563909774,0.106766917293,0.0,0.0,-0.132330827068, PF
72,Chase Budinger,PHX,28,66,29,37,930,0.291397849462,0.111827956989,0.256989247312,43.5,0.0258064516129,0.0924731182796,27.9,0.041935483871,0.0602150537634,69.6,0.0462365591398,0.115053763441,0.161290322581,0.0688172043011,0.047311827957,0.0344086021505,0.010752688172,0.0666666666667,0.0,0.0,0.0, SF
73,Chris Andersen,MEM,37,27,11,16,403,0.260545905707,0.0942928039702,0.178660049628,52.8,0.00992555831266,0.0347394540943,28.6,0.0620347394541,0.0893300248139,69.4,0.0893300248139,0.153846153846,0.24317617866,0.029776674938,0.0223325062035,0.0372208436725,0.0322580645161,0.0719602977667,0.0,0.0,-0.173697270471, PF
74,Chris Bosh,MIA,32,53,29,24,1778,0.568053993251,0.201349831271,0.431383577053,46.7,0.0455568053993,0.124859392576,36.5,0.119797525309,0.150731158605,79.5,0.0269966254218,0.19235095613,0.219347581552,0.0719910011249,0.0438695163105,0.0202474690664,0.0191226096738,0.0568053993251,0.00843644544432,0.0,0.0174353205849, PF
75,Chris Copeland,MIL,32,24,10,14,156,0.320512820513,0.108974358974,0.326923076923,33.3,0.0641025641026,0.230769230769,27.8,0.0384615384615,0.0448717948718,85.7,0.00641025641026,0.0576923076923,0.0641025641026,0.0705128205128,0.0384615384615,0.0128205128205,0.0,0.108974358974,0.0,0.0,-0.512820512821, SF
76,Chris Johnson,UTA,26,70,38,32,857,0.239206534422,0.0840140023337,0.226371061844,37.1,0.0315052508751,0.115519253209,27.3,0.0396732788798,0.049008168028,81.0,0.0315052508751,0.12252042007,0.154025670945,0.0525087514586,0.046674445741,0.0373395565928,0.0233372228705,0.116686114352,0.0,0.0,0.0, SF
77,Chris Kaman,POR,34,16,11,5,112,0.392857142857,0.178571428571,0.383928571429,46.5,0.00892857142857,0.0357142857143,25.0,0.0267857142857,0.0267857142857,100.0,0.0625,0.151785714286,0.214285714286,0.0982142857143,0.0714285714286,0.00892857142857,0.00892857142857,0.133928571429,0.0,0.0,-0.276785714286, C
78,Chris McCullough,BKN,21,24,7,17,362,0.309392265193,0.121546961326,0.301104972376,40.4,0.0359116022099,0.0939226519337,38.2,0.0303867403315,0.0635359116022,47.8,0.0690607734807,0.118784530387,0.187845303867,0.024861878453,0.0414364640884,0.0773480662983,0.0331491712707,0.10773480663,0.0,0.0,-0.328729281768, PF
79,Chris Paul,LAC,31,74,50,24,2420,0.597520661157,0.212809917355,0.460330578512,46.2,0.0504132231405,0.135950413223,37.1,0.121487603306,0.135537190083,89.6,0.0161157024793,0.111983471074,0.128099173554,0.304958677686,0.0801652892562,0.0628099173554,0.00537190082645,0.0764462809917,0.0157024793388,0.0,0.228512396694, PG
80,Christian Wood,PHI,20,17,0,17,145,0.420689655172,0.151724137931,0.365517241379,41.5,0.0275862068966,0.0758620689655,36.4,0.0896551724138,0.144827586207,61.9,0.0896551724138,0.172413793103,0.262068965517,0.0206896551724,0.0137931034483,0.0344827586207,0.048275862069,0.0758620689655,0.0,0.0,-0.337931034483, PF
81,Cleanthony Early,NYK,25,17,6,11,154,0.201298701299,0.0779220779221,0.25974025974,30.0,0.025974025974,0.0974025974026,26.7,0.0194805194805,0.025974025974,75.0,0.025974025974,0.142857142857,0.168831168831,0.038961038961,0.0584415584416,0.012987012987,0.0194805194805,0.103896103896,0.0,0.0,0.0, SF
