,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,0.625,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
436,Solomon Alabi,TOR,23,12,1,11,59,6,3,15,20,0,0,0,0,2,0,7,7,14,2,3,2,2,5,0,0,-13
439,Marcus Cousin,UTA,24,4,2,2,18,4,2,3,66.7,0,0,0,0,0,0,0,3,3,0,1,0,1,1,0,0,-17
439,Morris Peterson,OKC,33,4,2,2,23,4,2,5,40,0,1,0,0,0,0,0,3,3,1,0,0,0,5,0,0,8
441,Orien Greene,NJN,29,3,0,3,5,3,1,2,50,0,0,0,1,2,50,0,0,0,1,0,1,0,0,0,0,5
441,Patrick Ewing,NOH,27,7,3,4,19,3,0,5,0,0,2,0,3,4,75,1,1,2,2,1,0,1,1,0,0,-4
443,Antoine Wright,SAC,27,7,2,5,31,2,1,8,12.5,0,4,0,0,0,0,2,1,3,0,1,1,0,3,0,0,-24
443,Dexter Pittman,MIA,23,2,2,0,11,2,1,3,33.3,0,0,0,0,0,0,1,2,3,0,2,0,0,2,0,0,8
443,John Lucas III,CHI,28,2,1,1,10,2,1,3,33.3,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,-3
443,Pops Mensah-Bonsu,NOH,27,7,6,1,35,2,1,3,33.3,0,0,0,0,0,0,3,8,11,2,2,0,0,11,0,0,-16
443,Ronald Dupree,TOR,30,3,0,3,13,2,1,4,25,0,1,0,0,0,0,0,3,3,1,0,0,0,2,0,0,-5
443,Theo Ratliff,LAL,38,10,10,0,71,2,1,6,16.7,0,0,0,0,2,0,6,7,13,3,3,2,5,7,0,0,-27
449,Bobby Simmons,SAS,31,2,2,0,16,0,0,3,0,0,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,6
449,Brian Skinner,MIL,35,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11
449,Gani Lawal,PHX,22,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2
449,Hassan Whiteside,SAC,22,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-4
