,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,0.625,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
224,Kenyon Martin,DEN,33,48,31,17,1233,414,185,362,51.1,2,9,22.2,42,72,58.3,67,230,297,109,59,43,35,136,3,0,205
225,Mickael Pietrus,PHX,29,57,33,24,1107,410,143,365,39.2,85,236,36,39,57,68.4,15,111,126,33,39,29,21,101,0,0,-21
225,Wayne Ellington,MIN,23,62,14,48,1181,410,160,397,40.3,48,121,39.7,42,53,79.2,26,82,108,72,53,28,3,85,0,0,-204
227,Earl Boykins,MIL,35,57,23,34,862,408,156,352,44.3,27,71,38,69,82,84.1,15,40,55,141,52,38,3,43,0,0,40
228,Jordan Hill,HOU,23,72,38,34,1124,406,173,352,49.1,0,2,0,60,85,70.6,128,178,306,29,62,14,52,157,2,0,-149
229,C.J. Watson,CHI,27,82,62,20,1091,405,146,394,37.1,44,112,39.3,69,93,74.2,16,78,94,186,73,55,11,82,0,0,142
230,Nate Robinson,OKC,27,59,44,15,1013,401,150,376,39.9,65,200,32.5,36,44,81.8,15,75,90,111,68,29,4,115,1,0,37
230,Thabo Sefolosha,OKC,27,79,53,26,2049,401,157,333,47.1,28,102,27.5,59,79,74.7,65,281,346,111,55,97,38,171,2,0,101
232,Donte Greene,SAC,23,69,21,48,1127,400,156,386,40.4,45,154,29.2,43,65,66.2,49,98,147,48,60,36,20,88,1,0,-112
233,Chris Kaman,LAC,29,32,11,21,837,397,177,376,47.1,0,0,0,43,57,75.4,51,174,225,46,58,16,48,75,6,0,-45
234,Drew Gooden,MIL,29,35,14,21,860,396,156,362,43.1,3,20,15,81,102,79.4,73,165,238,47,46,21,18,98,10,1,-37
235,Antonio McDyess,SAS,36,73,54,19,1387,390,169,344,49.1,0,1,0,52,77,67.5,122,273,395,84,72,36,39,163,5,0,134
236,Gordon Hayward,UTA,21,72,33,39,1218,388,142,293,48.5,35,74,47.3,69,97,71.1,41,98,139,81,70,30,19,106,0,0,-197
237,DeShawn Stevenson,DAL,30,72,49,23,1158,383,128,330,38.8,94,249,37.8,33,43,76.7,20,86,106,77,44,21,5,71,0,0,32
238,Brad Miller,HOU,35,60,32,28,1015,382,132,296,44.6,40,107,37.4,78,94,83,44,178,222,145,54,28,21,98,1,0,43
239,Vladimir Radmanovic,GSW,30,74,32,42,1169,374,137,318,43.1,70,173,40.5,30,34,88.2,64,148,212,79,57,44,44,157,0,0,53
240,Ryan Hollins,CLE,26,70,17,53,1182,373,131,219,59.8,0,0,0,111,163,68.1,70,116,186,26,67,22,42,199,0,0,-128
241,Eddie House,MIA,33,56,39,17,979,362,128,321,39.9,68,175,38.9,38,40,95,9,83,92,62,29,32,3,68,0,0,106
242,Jeff Teague,ATL,23,70,36,34,963,361,133,304,43.8,18,48,37.5,77,97,79.4,11,91,102,138,64,45,25,82,0,0,-64
